ts,open,high,low,close,volume
1313380800000,18.537011,19.058272,18.009891,18.308592,96899967
1313985600000,18.560433,18.911846,18.144595,18.695141,94025931
1314590400000,18.788856,19.614675,18.788856,18.958706,67785688
1315195200000,18.525298,19.438971,18.455015,18.648293,96954148
1315800000000,18.706443,19.441424,18.611606,19.370296,81493947
1316404800000,19.026502,19.506611,18.202613,18.40414,88064593
1317009600000,18.534543,19.749632,18.380435,19.382141,93302497
1317614400000,19.316946,19.394,18.101856,18.736074,123944341
1318219200000,19.257671,19.559962,18.860545,19.548107,74720409
1318824000000,19.465122,19.808903,19.07985,19.767412,71080495
1319428800000,19.714073,21.04178,19.453273,20.810616,96036938
1320033600000,20.757267,20.887666,19.974869,20.164539,86242121
1320642000000,20.093414,21.486321,19.891887,21.320356,107113564
1321246800000,20.976585,21.261094,20.401639,20.715784,68209499
1321851600000,20.38385,20.484615,19.637015,19.654797,54625218
1322456400000,19.998574,21.332207,19.968937,21.029917,76708571
1323061200000,21.207747,21.255165,20.780983,21.148476,141149461
1323666000000,21.342335,22.00216,20.91045,21.744228,117238397
1324270800000,21.852199,22.733965,21.798212,22.733965,74611731
1324875600000,22.661988,22.73397,22.434049,22.614,30978880
1325480400000,22.721965,23.393786,22.679975,23.075871,72000744
1326085200000,22.997894,23.273821,22.727966,22.985897,59555220
1326690000000,23.111861,23.651718,23.015886,23.513754,66177008
1327294800000,23.369794,23.519756,22.925914,23.105865,68779402
1327899600000,23.021886,23.399786,22.793947,23.015888,83378776
1328504400000,22.919919,23.26183,22.661988,22.739967,57568422
1329109200000,22.853937,23.321813,22.673986,23.129864,66413645
1329714000000,23.075884,23.171859,22.733975,22.913927,41399040
1330318800000,22.757964,23.087878,22.530025,22.751966,75788530
1330923600000,22.799954,23.105873,22.140129,22.55402,146270827
1331524800000,22.878193,23.29063,22.835735,23.066217,71720404
1332129600000,23.011631,23.078348,22.762956,23.054089,61678363
1332734400000,23.205725,23.654556,22.914592,23.290638,76168536
1333339200000,23.229982,23.624224,23.175393,23.581766,53951668
1333944000000,23.399815,23.642426,22.908528,22.914593,73447508
1334548800000,22.975247,23.581773,22.975247,23.490795,61226151
1335153600000,23.381611,23.618157,23.126869,23.327024,64668202
1335758400000,23.4362,23.957815,23.405873,23.557507,71713801
1336363200000,23.357348,23.539308,23.017693,23.066217,56451464
1336968000000,22.95705,23.320965,22.793288,22.938854,78484302
1337572800000,22.884262,22.981307,22.45363,22.775089,50416870
1338177600000,22.860005,22.969178,22.453632,22.550676,47448515
1338782400000,22.55067,23.381611,22.514276,23.327024,145027898
1339387200000,23.680068,23.97438,23.465464,23.876278,102505299
1339992000000,23.74139,24.716309,23.74139,24.636599,76536279
1340596800000,24.471042,25.599249,24.342279,25.599249,79807925
1341201600000,25.29267,25.728012,25.280406,25.452091,43174037
1341806400000,25.574719,26.71519,25.176169,26.653873,117602368
1342411200000,26.500593,27.205722,26.365697,26.617092,82367769
1343016000000,26.500587,27.69624,25.911957,27.653318,97748741
1343620800000,27.371279,27.549092,26.684544,27.070833,59410071
1344225600000,27.101486,27.371276,26.79491,27.328354,52452086
1344830400000,27.334486,27.371274,26.420883,26.574171,47672263
1345435200000,26.580299,26.856217,26.126563,26.439272,50639255
1346040000000,26.353426,26.721318,26.144952,26.396345,62386602
1346644800000,26.451538,27.248639,26.285987,27.00951,53594195
1347249600000,27.217161,27.675215,26.889094,27.000511,57541278
1347854400000,26.913858,28.009479,26.913858,27.799021,61394041
1348459200000,27.82377,28.288015,27.718542,27.91662,60552286
1349064000000,27.836148,28.783208,27.836148,28.64703,47459518
1349668800000,28.57896,28.807988,28.071384,28.238512,42346326
1350273600000,28.312768,29.711692,28.281818,29.111269,59034888
1350878400000,28.975107,29.111285,28.343734,28.56657,61913011
1351483200000,28.733692,28.913201,28.12708,28.473717,38515572
1352091600000,28.362294,28.671792,27.000506,27.266676,75570756
1352696400000,27.526659,27.557609,26.220582,26.660069,62938164
1353301200000,26.814821,27.415247,26.672454,27.409056,33389909
1353906000000,27.235735,27.823778,26.950998,27.421432,56007007
1354510800000,27.526655,27.749494,27.334769,27.625694,52348124
1355115600000,27.784454,28.428135,27.128277,27.209518,64044747
1355720400000,27.265743,27.784435,25.903392,25.947138,106279253
1356325200000,25.890896,26.090874,25.390951,25.3972,38077194
1356930000000,25.172228,26.559575,25.009745,26.228361,72570017
1357534800000,26.272116,27.078277,26.153377,27.015783,64387234
1358139600000,27.065775,27.222007,26.559581,26.859549,70056600
1358744400000,26.728318,27.159521,26.590834,27.159521,54569883
1359349200000,27.084522,27.353242,25.940899,26.140877,96908874
1359954000000,25.865901,26.034632,25.515939,25.734665,103685870
1360558800000,25.740913,25.978386,25.515936,25.884645,72441113
1361163600000,25.997136,27.040772,25.984636,26.853291,60075447
1361768400000,27.065766,27.153256,26.3096,26.640814,78867344
1362373200000,26.822044,27.453225,26.722055,26.853291,95056011
1362974400000,27.099514,28.657975,27.04904,27.818804,170606121
1363579200000,27.623215,27.945002,27.490715,27.698929,67579966
1364184000000,27.730472,28.014403,27.452853,27.88821,55378836
1364788800000,27.762026,29.124889,27.616905,28.475004,78735716
1365393600000,28.449769,29.976679,28.367744,29.724297,70310529
1365998400000,29.585469,29.970352,29.282611,29.964041,64229929
1366603200000,29.938819,30.784299,29.724294,30.203821,77555983
1367208000000,30.210129,30.361559,28.140596,28.815718,102684717
