ts,instrument,funding_rate
1786550400000,ETH-USDT-SWAP,8.12543862044e-05
1786521600000,ETH-USDT-SWAP,5.86603710092e-05
1786492800000,ETH-USDT-SWAP,6.50447801533e-05
1786464000000,ETH-USDT-SWAP,7.29133616208e-05
1786435200000,ETH-USDT-SWAP,6.29568308174e-05
1786406400000,ETH-USDT-SWAP,9.29685260374e-05
1786377600000,ETH-USDT-SWAP,0.0001
1786348800000,ETH-USDT-SWAP,4.28864056466e-05
1786320000000,ETH-USDT-SWAP,5.38090424681e-05
1786291200000,ETH-USDT-SWAP,1.50459997638e-05
1786262400000,ETH-USDT-SWAP,6.98565916673e-05
1786233600000,ETH-USDT-SWAP,1.71944578959e-05
1786204800000,ETH-USDT-SWAP,-2.156013378e-06
1786176000000,ETH-USDT-SWAP,3.59142764991e-05
1786147200000,ETH-USDT-SWAP,2.46228606321e-05
1786118400000,ETH-USDT-SWAP,1.89688413157e-05
1786089600000,ETH-USDT-SWAP,6.67092397022e-05
1786060800000,ETH-USDT-SWAP,2.88350469677e-05
1786032000000,ETH-USDT-SWAP,1.71069136136e-05
1786003200000,ETH-USDT-SWAP,8.542736991e-07
1785974400000,ETH-USDT-SWAP,7.18973766562e-05
1785945600000,ETH-USDT-SWAP,-2.03682277445e-05
1785916800000,ETH-USDT-SWAP,1.70820629493e-05
1785888000000,ETH-USDT-SWAP,-4.52013035251e-05
1785859200000,ETH-USDT-SWAP,-1.6037630656e-05
1785830400000,ETH-USDT-SWAP,3.8280633343e-05
1785801600000,ETH-USDT-SWAP,-6.3556808055e-06
1785772800000,ETH-USDT-SWAP,1.33384481188e-05
1785744000000,ETH-USDT-SWAP,8.909416699e-06
1785715200000,ETH-USDT-SWAP,-2.4670933644e-06
1785686400000,ETH-USDT-SWAP,-1.3308240259e-05
1785657600000,ETH-USDT-SWAP,9.0890955266e-06
1785628800000,ETH-USDT-SWAP,-2.1638887569e-06
1785600000000,ETH-USDT-SWAP,8.4312481241e-06
1785571200000,ETH-USDT-SWAP,-7.2516357667e-06
1785542400000,ETH-USDT-SWAP,-1.56100214736e-05
1785513600000,ETH-USDT-SWAP,1.76944057637e-05
1785484800000,ETH-USDT-SWAP,3.86844546564e-05
1785456000000,ETH-USDT-SWAP,2.37493300502e-05
1785427200000,ETH-USDT-SWAP,1.97473818978e-05
1785398400000,ETH-USDT-SWAP,2.40826545597e-05
1785369600000,ETH-USDT-SWAP,4.05143713341e-05
1785340800000,ETH-USDT-SWAP,-8.563046805e-06
1785312000000,ETH-USDT-SWAP,1.65477485e-05
1785283200000,ETH-USDT-SWAP,1.68559808199e-05
1785254400000,ETH-USDT-SWAP,-6.8647534945e-06
1785225600000,ETH-USDT-SWAP,-1.22022483673e-05
1785196800000,ETH-USDT-SWAP,4.9488462759e-06
1785168000000,ETH-USDT-SWAP,4.5289516199e-06
1785139200000,ETH-USDT-SWAP,2.80698073452e-05
1785110400000,ETH-USDT-SWAP,5.1883489743e-05
1785081600000,ETH-USDT-SWAP,2.20730758221e-05
1785052800000,ETH-USDT-SWAP,2.12251466303e-05
1785024000000,ETH-USDT-SWAP,1.29977466092e-05
1784995200000,ETH-USDT-SWAP,3.30618818075e-05
1784966400000,ETH-USDT-SWAP,6.3860019022e-05
1784937600000,ETH-USDT-SWAP,1.99106359241e-05
1784908800000,ETH-USDT-SWAP,4.49126092244e-05
1784880000000,ETH-USDT-SWAP,-5.27169993112e-05
1784851200000,ETH-USDT-SWAP,-3.65408707853e-05
1784822400000,ETH-USDT-SWAP,-6.869855277e-07
1784793600000,ETH-USDT-SWAP,8.9193515735e-06
1784764800000,ETH-USDT-SWAP,3.843646923e-07
1784736000000,ETH-USDT-SWAP,-1.40415231133e-05
1784707200000,ETH-USDT-SWAP,-2.55962269609e-05
1784678400000,ETH-USDT-SWAP,-3.08424179407e-05
1784649600000,ETH-USDT-SWAP,-8.448823037e-07
1784620800000,ETH-USDT-SWAP,-4.45163079178e-05
1784592000000,ETH-USDT-SWAP,1.58882774007e-05
1784563200000,ETH-USDT-SWAP,-5.9409107398e-06
1784534400000,ETH-USDT-SWAP,-2.2207834139e-06
1784505600000,ETH-USDT-SWAP,1.48006644307e-05
1784476800000,ETH-USDT-SWAP,6.74808766784e-05
1784448000000,ETH-USDT-SWAP,1.25871505438e-05
1784419200000,ETH-USDT-SWAP,-2.58329348864e-05
1784390400000,ETH-USDT-SWAP,8.6559930819e-06
1784361600000,ETH-USDT-SWAP,-3.01450665353e-05
1784332800000,ETH-USDT-SWAP,-2.95985967298e-05
1784304000000,ETH-USDT-SWAP,3.69963698486e-05
1784275200000,ETH-USDT-SWAP,6.77113654724e-05
1784246400000,ETH-USDT-SWAP,6.8512360485e-05
1784217600000,ETH-USDT-SWAP,3.66753143679e-05
1784188800000,ETH-USDT-SWAP,7.61611320942e-05
1784160000000,ETH-USDT-SWAP,4.08086469783e-05
