ts,currency,volatility
1785189600000,BTC,29.645188606440907
1785189600000,BTC,29.645188606440907
1785193200000,BTC,29.586637640634915
1785196800000,BTC,30.59766118136871
1785200400000,BTC,30.588502999342875
1785204000000,BTC,30.582424103223207
1785207600000,BTC,30.22271323437528
1785211200000,BTC,30.22329114632444
1785214800000,BTC,29.919718040095564
1785218400000,BTC,29.901132952821776
1785222000000,BTC,29.896374149902535
1785225600000,BTC,29.92872367592232
1785229200000,BTC,29.910489357332334
1785232800000,BTC,29.87173356024999
1785236400000,BTC,29.861040413429244
1785240000000,BTC,29.811158077113607
1785243600000,BTC,29.8096764270392
1785247200000,BTC,29.73510233644157
1785250800000,BTC,29.838819800572296
1785254400000,BTC,29.70439280257579
1785258000000,BTC,29.94812151571579
1785261600000,BTC,29.83732351410049
1785265200000,BTC,29.81626187584234
1785268800000,BTC,29.804338061160234
1785272400000,BTC,29.75389664523392
1785276000000,BTC,29.74848784459786
1785279600000,BTC,29.730879037995198
1785283200000,BTC,29.73986442093595
1785286800000,BTC,29.577244997424796
1785290400000,BTC,29.52825209801041
1785294000000,BTC,29.59262963363703
1785297600000,BTC,29.661963808615337
1785301200000,BTC,29.713313949177046
1785304800000,BTC,29.7298626478391
1785308400000,BTC,29.739607057796167
1785312000000,BTC,29.86263627248881
1785315600000,BTC,29.87303299666819
1785319200000,BTC,29.864643370209414
1785322800000,BTC,29.933445647485826
1785326400000,BTC,29.951213738096364
1785330000000,BTC,29.950425235812247
1785333600000,BTC,28.71243271219333
1785337200000,BTC,28.85303815025866
1785340800000,BTC,28.95556921857112
1785344400000,BTC,28.77369969466864
1785348000000,BTC,28.798869727468944
1785351600000,BTC,29.000243073096147
1785355200000,BTC,29.05802937417843
1785358800000,BTC,29.871953375242242
1785362400000,BTC,29.877817811706876
1785366000000,BTC,29.978426615254524
1785369600000,BTC,29.95010961346934
1785373200000,BTC,29.925363921074876
1785376800000,BTC,29.97564688896368
1785380400000,BTC,30.293248080048723
1785384000000,BTC,30.270312178474736
1785387600000,BTC,30.188920875935107
1785391200000,BTC,30.206664387729155
1785394800000,BTC,30.17135799655357
