Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-13 00:00:00-04:00,68.87651515204051,70.10392685372467,68.6121513278929,69.84900665283203,4356900,0.0,0.0
2024-08-14 00:00:00-04:00,69.40524249517397,70.19833388181702,68.91427498626554,70.00006103515625,4747800,0.0,0.0
2024-08-15 00:00:00-04:00,70.22665583444481,70.82148156331051,69.63183730895211,70.18888854980469,5196700,0.0,0.0
2024-08-16 00:00:00-04:00,69.81123302426107,70.09447686582587,68.81986157035101,69.66016387939453,5148000,0.0,0.0
2024-08-19 00:00:00-04:00,69.24474378037527,70.35885371864435,69.17865281807858,70.29276275634766,3727900,0.0,0.0
2024-08-20 00:00:00-04:00,70.37773116903354,70.71762955734619,70.18889472920783,70.57600402832031,3668000,0.0,0.0
2024-08-21 00:00:00-04:00,70.67042011766138,71.17082408771233,70.62321640925256,70.93478393554688,3659700,0.0,0.0
2024-08-22 00:00:00-04:00,71.35021422249068,72.00168732302251,71.14249774386467,71.66178894042969,5930800,0.0,0.0
2024-08-23 00:00:00-04:00,71.84117883200234,72.81367033109917,71.6712368339527,72.43600463867188,6847100,0.0,0.0
2024-08-26 00:00:00-04:00,72.51155854921433,73.10637731108696,72.15277280423882,72.6626205444336,2926800,0.0,0.0
2024-08-27 00:00:00-04:00,72.89864366268361,73.13468382758158,72.40768328918048,72.70037078857422,3902000,0.0,0.0
2024-08-28 00:00:00-04:00,73.13468068022904,75.01355829501456,72.91752777175763,74.17325592041016,6214100,0.0,0.0
2024-08-29 00:00:00-04:00,74.52259708734215,75.20239387773104,73.88056758568305,75.01355743408203,5544800,0.0,0.0
2024-08-30 00:00:00-04:00,74.994681081028,75.76889252964455,74.21102600892095,74.58869171142578,6205300,0.0,0.0
2024-09-03 00:00:00-04:00,75.33458147839028,75.94828736071311,74.96635938967145,75.24960327148438,8733300,0.0,0.0
2024-09-04 00:00:00-04:00,75.22128873323162,75.5328635240785,74.32433886023327,74.71144104003906,4580600,0.0,0.0
2024-09-05 00:00:00-04:00,74.54147782466926,74.8908198461451,73.39904434259809,74.37152862548828,4306400,0.0,0.0
2024-09-06 00:00:00-04:00,74.69254762904804,74.78696225088467,73.89001253837581,74.32432556152344,9220900,0.0,0.0
2024-09-09 00:00:00-04:00,74.0221983632833,75.7216832563186,73.98443107187704,74.74919891357422,5571500,0.0,0.0
2024-09-10 00:00:00-04:00,74.74919963829817,77.00574309723585,74.33377383555033,76.89244842529297,6869000,0.0,0.0
