Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-02 00:00:00-04:00,112.625,112.65625,112.625,112.625,0,0.0,0.0
2026-06-02 00:05:00-04:00,112.625,112.65625,112.625,112.625,12,0.0,0.0
2026-06-02 00:10:00-04:00,112.65625,112.65625,112.625,112.625,13,0.0,0.0
2026-06-02 00:15:00-04:00,112.625,112.6875,112.625,112.65625,267,0.0,0.0
2026-06-02 00:20:00-04:00,112.6875,112.6875,112.65625,112.6875,147,0.0,0.0
2026-06-02 00:25:00-04:00,112.6875,112.6875,112.6875,112.6875,139,0.0,0.0
2026-06-02 00:30:00-04:00,112.65625,112.6875,112.65625,112.65625,24,0.0,0.0
2026-06-02 00:35:00-04:00,112.6875,112.6875,112.65625,112.65625,6,0.0,0.0
2026-06-02 00:40:00-04:00,112.6875,112.6875,112.65625,112.65625,3,0.0,0.0
2026-06-02 00:45:00-04:00,112.65625,112.6875,112.65625,112.6875,239,0.0,0.0
2026-06-02 00:50:00-04:00,112.6875,112.6875,112.65625,112.6875,768,0.0,0.0
2026-06-02 00:55:00-04:00,112.6875,112.6875,112.6875,112.6875,5,0.0,0.0
2026-06-02 01:00:00-04:00,112.6875,112.8125,112.6875,112.75,3267,0.0,0.0
2026-06-02 01:05:00-04:00,112.75,112.78125,112.71875,112.75,481,0.0,0.0
2026-06-02 01:10:00-04:00,112.75,112.78125,112.75,112.75,83,0.0,0.0
2026-06-02 01:15:00-04:00,112.75,112.78125,112.75,112.78125,288,0.0,0.0
2026-06-02 01:20:00-04:00,112.78125,112.8125,112.75,112.78125,609,0.0,0.0
2026-06-02 01:25:00-04:00,112.78125,112.78125,112.75,112.78125,68,0.0,0.0
2026-06-02 01:30:00-04:00,112.78125,112.84375,112.78125,112.84375,785,0.0,0.0
2026-06-02 01:35:00-04:00,112.84375,112.84375,112.78125,112.78125,826,0.0,0.0
2026-06-02 01:40:00-04:00,112.78125,112.8125,112.78125,112.78125,259,0.0,0.0
2026-06-02 01:45:00-04:00,112.8125,112.8125,112.78125,112.78125,545,0.0,0.0
2026-06-02 01:50:00-04:00,112.78125,112.78125,112.71875,112.75,622,0.0,0.0
2026-06-02 01:55:00-04:00,112.71875,112.75,112.71875,112.75,174,0.0,0.0
2026-06-02 02:00:00-04:00,112.75,112.78125,112.71875,112.78125,927,0.0,0.0
2026-06-02 02:05:00-04:00,112.78125,112.8125,112.75,112.78125,605,0.0,0.0
2026-06-02 02:10:00-04:00,112.78125,112.8125,112.78125,112.8125,578,0.0,0.0
2026-06-02 02:15:00-04:00,112.8125,112.875,112.8125,112.84375,2215,0.0,0.0
2026-06-02 02:20:00-04:00,112.84375,112.84375,112.8125,112.8125,133,0.0,0.0
2026-06-02 02:25:00-04:00,112.84375,112.84375,112.78125,112.78125,1139,0.0,0.0
2026-06-02 02:30:00-04:00,112.8125,112.8125,112.75,112.8125,1495,0.0,0.0
2026-06-02 02:35:00-04:00,112.8125,112.8125,112.75,112.78125,1058,0.0,0.0
2026-06-02 02:40:00-04:00,112.8125,112.8125,112.78125,112.78125,557,0.0,0.0
2026-06-02 02:45:00-04:00,112.78125,112.78125,112.75,112.78125,492,0.0,0.0
2026-06-02 02:50:00-04:00,112.75,112.78125,112.75,112.78125,419,0.0,0.0
2026-06-02 02:55:00-04:00,112.78125,112.78125,112.75,112.78125,222,0.0,0.0
2026-06-02 03:00:00-04:00,112.78125,112.8125,112.75,112.8125,1664,0.0,0.0
2026-06-02 03:05:00-04:00,112.8125,112.84375,112.78125,112.78125,683,0.0,0.0
2026-06-02 03:10:00-04:00,112.78125,112.8125,112.78125,112.8125,438,0.0,0.0
2026-06-02 03:15:00-04:00,112.78125,112.8125,112.75,112.8125,586,0.0,0.0
2026-06-02 03:20:00-04:00,112.8125,112.8125,112.78125,112.78125,1203,0.0,0.0
2026-06-02 03:25:00-04:00,112.75,112.78125,112.71875,112.71875,252,0.0,0.0
2026-06-02 03:30:00-04:00,112.71875,112.75,112.71875,112.75,853,0.0,0.0
2026-06-02 03:35:00-04:00,112.75,112.75,112.75,112.75,173,0.0,0.0
2026-06-02 03:40:00-04:00,112.78125,112.8125,112.75,112.78125,500,0.0,0.0
2026-06-02 03:45:00-04:00,112.78125,112.8125,112.75,112.78125,608,0.0,0.0
2026-06-02 03:50:00-04:00,112.78125,112.8125,112.75,112.8125,1421,0.0,0.0
2026-06-02 03:55:00-04:00,112.8125,112.84375,112.78125,112.8125,1094,0.0,0.0
2026-06-02 04:00:00-04:00,112.84375,112.84375,112.78125,112.8125,438,0.0,0.0
2026-06-02 04:05:00-04:00,112.8125,112.8125,112.78125,112.8125,773,0.0,0.0
2026-06-02 04:10:00-04:00,112.8125,112.8125,112.8125,112.8125,440,0.0,0.0
2026-06-02 04:15:00-04:00,112.8125,112.84375,112.8125,112.84375,320,0.0,0.0
2026-06-02 04:20:00-04:00,112.84375,112.84375,112.8125,112.84375,3484,0.0,0.0
2026-06-02 04:25:00-04:00,112.84375,112.84375,112.78125,112.78125,586,0.0,0.0
2026-06-02 04:30:00-04:00,112.8125,112.84375,112.8125,112.84375,689,0.0,0.0
2026-06-02 04:35:00-04:00,112.84375,112.84375,112.8125,112.84375,661,0.0,0.0
2026-06-02 04:40:00-04:00,112.84375,112.875,112.8125,112.84375,495,0.0,0.0
2026-06-02 04:45:00-04:00,112.875,112.90625,112.875,112.875,848,0.0,0.0
2026-06-02 04:50:00-04:00,112.875,112.875,112.875,112.875,560,0.0,0.0
2026-06-02 04:55:00-04:00,112.84375,112.875,112.8125,112.8125,933,0.0,0.0
2026-06-02 05:00:00-04:00,112.8125,112.8125,112.78125,112.8125,478,0.0,0.0
2026-06-02 05:05:00-04:00,112.8125,112.8125,112.8125,112.8125,340,0.0,0.0
2026-06-02 05:10:00-04:00,112.8125,112.8125,112.78125,112.8125,413,0.0,0.0
2026-06-02 05:15:00-04:00,112.8125,112.84375,112.8125,112.84375,331,0.0,0.0
2026-06-02 05:20:00-04:00,112.8125,112.8125,112.8125,112.8125,499,0.0,0.0
2026-06-02 05:25:00-04:00,112.8125,112.8125,112.75,112.75,220,0.0,0.0
2026-06-02 05:30:00-04:00,112.75,112.78125,112.71875,112.75,521,0.0,0.0
2026-06-02 05:35:00-04:00,112.75,112.75,112.75,112.75,16,0.0,0.0
2026-06-02 05:40:00-04:00,112.75,112.78125,112.75,112.78125,759,0.0,0.0
2026-06-02 05:45:00-04:00,112.78125,112.78125,112.78125,112.78125,621,0.0,0.0
2026-06-02 05:50:00-04:00,112.78125,112.78125,112.78125,112.78125,420,0.0,0.0
2026-06-02 05:55:00-04:00,112.78125,112.78125,112.75,112.75,196,0.0,0.0
2026-06-02 06:00:00-04:00,112.78125,112.8125,112.78125,112.78125,1407,0.0,0.0
2026-06-02 06:05:00-04:00,112.78125,112.8125,112.78125,112.78125,393,0.0,0.0
2026-06-02 06:10:00-04:00,112.8125,112.84375,112.78125,112.8125,372,0.0,0.0
2026-06-02 06:15:00-04:00,112.78125,112.84375,112.78125,112.84375,574,0.0,0.0
2026-06-02 06:20:00-04:00,112.84375,112.84375,112.8125,112.8125,564,0.0,0.0
2026-06-02 06:25:00-04:00,112.84375,112.84375,112.8125,112.8125,549,0.0,0.0
2026-06-02 06:30:00-04:00,112.84375,112.875,112.84375,112.84375,381,0.0,0.0
2026-06-02 06:35:00-04:00,112.84375,112.84375,112.84375,112.84375,189,0.0,0.0
2026-06-02 06:40:00-04:00,112.84375,112.84375,112.84375,112.84375,253,0.0,0.0
2026-06-02 06:45:00-04:00,112.84375,112.90625,112.84375,112.875,1515,0.0,0.0
2026-06-02 06:50:00-04:00,112.875,112.875,112.875,112.875,210,0.0,0.0
2026-06-02 06:55:00-04:00,112.875,112.90625,112.84375,112.84375,539,0.0,0.0
2026-06-02 07:00:00-04:00,112.875,112.90625,112.875,112.90625,674,0.0,0.0
2026-06-02 07:05:00-04:00,112.90625,112.90625,112.90625,112.90625,5565,0.0,0.0
2026-06-02 07:10:00-04:00,112.9375,112.9375,112.90625,112.9375,1111,0.0,0.0
2026-06-02 07:15:00-04:00,112.9375,112.9375,112.875,112.875,1768,0.0,0.0
2026-06-02 07:20:00-04:00,112.84375,112.90625,112.84375,112.84375,338,0.0,0.0
2026-06-02 07:25:00-04:00,112.875,112.875,112.84375,112.875,174,0.0,0.0
2026-06-02 07:30:00-04:00,112.84375,112.875,112.84375,112.84375,2177,0.0,0.0
2026-06-02 07:35:00-04:00,112.84375,112.84375,112.84375,112.84375,1649,0.0,0.0
2026-06-02 07:40:00-04:00,112.84375,112.875,112.8125,112.84375,723,0.0,0.0
2026-06-02 07:45:00-04:00,112.84375,112.875,112.8125,112.875,612,0.0,0.0
2026-06-02 07:50:00-04:00,112.875,112.875,112.8125,112.84375,971,0.0,0.0
2026-06-02 07:55:00-04:00,112.84375,112.875,112.8125,112.84375,818,0.0,0.0
2026-06-02 08:00:00-04:00,112.84375,112.84375,112.8125,112.84375,242,0.0,0.0
2026-06-02 08:05:00-04:00,112.84375,112.90625,112.8125,112.875,2077,0.0,0.0
2026-06-02 08:10:00-04:00,112.875,112.90625,112.875,112.875,884,0.0,0.0
2026-06-02 08:15:00-04:00,112.84375,112.84375,112.8125,112.8125,586,0.0,0.0
2026-06-02 08:20:00-04:00,112.84375,112.84375,112.78125,112.84375,8127,0.0,0.0
2026-06-02 08:25:00-04:00,112.84375,112.875,112.8125,112.8125,4722,0.0,0.0
2026-06-02 08:30:00-04:00,112.8125,112.8125,112.75,112.75,3631,0.0,0.0
2026-06-02 08:35:00-04:00,112.75,112.84375,112.75,112.8125,4071,0.0,0.0
2026-06-02 08:40:00-04:00,112.84375,112.875,112.78125,112.84375,1686,0.0,0.0
2026-06-02 08:45:00-04:00,112.875,112.875,112.78125,112.78125,2050,0.0,0.0
2026-06-02 08:50:00-04:00,112.78125,112.84375,112.75,112.84375,1936,0.0,0.0
2026-06-02 08:55:00-04:00,112.84375,112.84375,112.78125,112.78125,1853,0.0,0.0
2026-06-02 09:00:00-04:00,112.78125,112.8125,112.75,112.78125,2166,0.0,0.0
2026-06-02 09:05:00-04:00,112.78125,112.8125,112.6875,112.71875,6576,0.0,0.0
2026-06-02 09:10:00-04:00,112.71875,112.75,112.6875,112.71875,2725,0.0,0.0
2026-06-02 09:15:00-04:00,112.71875,112.71875,112.6875,112.71875,1081,0.0,0.0
2026-06-02 09:20:00-04:00,112.71875,112.75,112.6875,112.75,1317,0.0,0.0
2026-06-02 09:25:00-04:00,112.75,112.78125,112.71875,112.75,1634,0.0,0.0
