Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-09-14 09:30:00-04:00,29.549999237060547,29.549999237060547,29.149999618530273,29.395000457763672,269382,0.0,0.0,0.0
2023-09-14 10:30:00-04:00,29.400001525878906,29.700000762939453,29.375999450683594,29.549501419067383,99811,0.0,0.0,0.0
2023-09-14 11:30:00-04:00,29.525001525878906,29.645999908447266,29.44999885559082,29.625,100153,0.0,0.0,0.0
2023-09-14 12:30:00-04:00,29.600000381469727,29.649999618530273,29.5,29.549999237060547,85665,0.0,0.0,0.0
2023-09-14 13:30:00-04:00,29.549999237060547,29.600000381469727,29.472000122070312,29.474000930786133,41482,0.0,0.0,0.0
2023-09-14 14:30:00-04:00,29.5,29.5,29.44999885559082,29.473499298095703,46404,0.0,0.0,0.0
2023-09-14 15:30:00-04:00,29.460498809814453,29.549999237060547,29.44999885559082,29.5,51111,0.0,0.0,0.0
2023-09-15 09:30:00-04:00,29.600000381469727,30.04199981689453,29.510000228881836,29.899999618530273,227324,0.0,0.0,0.0
2023-09-15 10:30:00-04:00,29.899999618530273,30.0,29.799999237060547,29.808500289916992,77894,0.0,0.0,0.0
2023-09-15 11:30:00-04:00,29.849998474121094,29.949501037597656,29.799999237060547,29.875,141010,0.0,0.0,0.0
2023-09-15 12:30:00-04:00,29.89200210571289,29.949501037597656,29.774999618530273,29.84950065612793,61266,0.0,0.0,0.0
2023-09-15 13:30:00-04:00,29.849998474121094,29.899999618530273,29.800500869750977,29.899999618530273,29697,0.0,0.0,0.0
2023-09-15 14:30:00-04:00,29.875,29.899999618530273,29.855998992919922,29.899999618530273,42429,0.0,0.0,0.0
2023-09-15 15:30:00-04:00,29.899999618530273,29.899999618530273,29.849998474121094,29.899999618530273,54275,0.0,0.0,0.0
2023-09-18 09:30:00-04:00,29.649999618530273,29.649999618530273,29.30000114440918,29.5,301713,0.0,0.0,0.0
2023-09-18 10:30:00-04:00,29.5,29.541500091552734,29.224998474121094,29.349998474121094,141970,0.0,0.0,0.0
