ts,contract,funding_rate
1786550402,ETH_USDT,7.1e-05
1786521602,ETH_USDT,4e-06
1786492802,ETH_USDT,4.3e-05
1786464002,ETH_USDT,4.7e-05
1786435202,ETH_USDT,2.7e-05
1786406402,ETH_USDT,4e-06
1786377602,ETH_USDT,0.0001
1786348802,ETH_USDT,-2e-05
1786320002,ETH_USDT,7.2e-05
1786291202,ETH_USDT,-4e-06
1786262402,ETH_USDT,6.7e-05
1786233602,ETH_USDT,5.1e-05
1786204802,ETH_USDT,1.6e-05
1786176002,ETH_USDT,4.8e-05
1786147202,ETH_USDT,4.1e-05
1786118402,ETH_USDT,1.7e-05
1786089602,ETH_USDT,5.2e-05
1786060802,ETH_USDT,5e-06
1786032002,ETH_USDT,-2e-06
1786003202,ETH_USDT,-2e-05
1785974402,ETH_USDT,-3.5e-05
1785945602,ETH_USDT,1.8e-05
1785916802,ETH_USDT,3.4e-05
1785888002,ETH_USDT,2.8e-05
1785859202,ETH_USDT,2e-05
1785830402,ETH_USDT,3.8e-05
1785801602,ETH_USDT,4.7e-05
1785772802,ETH_USDT,1.7e-05
1785744002,ETH_USDT,6.9e-05
1785715202,ETH_USDT,4.2e-05
1785686402,ETH_USDT,5.8e-05
1785657602,ETH_USDT,4.7e-05
1785628802,ETH_USDT,-3e-06
1785600002,ETH_USDT,2.9e-05
1785571202,ETH_USDT,3.3e-05
1785542402,ETH_USDT,9.6e-05
1785513602,ETH_USDT,2.2e-05
1785484802,ETH_USDT,1.3e-05
1785456002,ETH_USDT,3.5e-05
1785427202,ETH_USDT,4.3e-05
1785398402,ETH_USDT,4.3e-05
1785369602,ETH_USDT,3.8e-05
1785340802,ETH_USDT,4.5e-05
1785312002,ETH_USDT,-1.4e-05
1785283202,ETH_USDT,2.2e-05
1785254402,ETH_USDT,1.5e-05
1785225602,ETH_USDT,-7e-06
1785196802,ETH_USDT,-1e-06
1785168002,ETH_USDT,-4e-06
1785139202,ETH_USDT,-1.3e-05
1785110402,ETH_USDT,4.2e-05
1785081602,ETH_USDT,-1e-06
1785052802,ETH_USDT,-1.5e-05
1785024002,ETH_USDT,-3e-05
1784995202,ETH_USDT,5.9e-05
1784966402,ETH_USDT,9.3e-05
1784937602,ETH_USDT,5.7e-05
1784908802,ETH_USDT,6e-06
1784880002,ETH_USDT,-9e-06
1784851202,ETH_USDT,-6e-06
1784822402,ETH_USDT,-2.1e-05
1784793602,ETH_USDT,1.1e-05
1784764802,ETH_USDT,7e-06
1784736002,ETH_USDT,1.3e-05
1784707202,ETH_USDT,2.6e-05
1784678402,ETH_USDT,2.9e-05
1784649602,ETH_USDT,1.9e-05
1784620802,ETH_USDT,-1.9e-05
1784592002,ETH_USDT,3.2e-05
1784563202,ETH_USDT,1.9e-05
1784534402,ETH_USDT,2.1e-05
1784505602,ETH_USDT,3.2e-05
1784476802,ETH_USDT,6.2e-05
1784448002,ETH_USDT,5.3e-05
1784419202,ETH_USDT,1e-05
1784390402,ETH_USDT,3.3e-05
1784361602,ETH_USDT,3.4e-05
1784332802,ETH_USDT,1.7e-05
1784304002,ETH_USDT,1.6e-05
1784275202,ETH_USDT,8.3e-05
1784246402,ETH_USDT,0.0001
1784217602,ETH_USDT,6.2e-05
1784188802,ETH_USDT,0.0001
1784160002,ETH_USDT,6.2e-05
1784131202,ETH_USDT,6.8e-05
1784102402,ETH_USDT,4e-05
1784073602,ETH_USDT,5.7e-05
1784044802,ETH_USDT,2.2e-05
1784016002,ETH_USDT,1.2e-05
1783987202,ETH_USDT,1e-05
