ts,currency,volatility
1785189600000,ETH,42.166951921657976
1785189600000,ETH,42.166951921657976
1785193200000,ETH,42.11696487149766
1785196800000,ETH,43.812363560263364
1785200400000,ETH,43.81235983439148
1785204000000,ETH,43.6223308743635
1785207600000,ETH,43.302220714274625
1785211200000,ETH,43.30222245264145
1785214800000,ETH,42.701480528138184
1785218400000,ETH,42.70188035392107
1785222000000,ETH,42.70632452981054
1785225600000,ETH,42.71475724037042
1785229200000,ETH,42.65098900476899
1785232800000,ETH,42.645370874727
1785236400000,ETH,42.68172664245821
1785240000000,ETH,42.65234806191596
1785243600000,ETH,42.654472331387076
1785247200000,ETH,42.78593661867573
1785250800000,ETH,43.05787857200834
1785254400000,ETH,43.13395647013392
1785258000000,ETH,43.873095151213896
1785261600000,ETH,43.874939768592235
1785265200000,ETH,44.021093166085464
1785268800000,ETH,43.981182333625746
1785272400000,ETH,43.97283337131555
1785276000000,ETH,43.93086122080022
1785279600000,ETH,43.924471898415284
1785283200000,ETH,44.02065682418649
1785286800000,ETH,43.79423565583595
1785290400000,ETH,43.734314164813455
1785294000000,ETH,43.83950578414916
1785297600000,ETH,43.852429479410084
1785301200000,ETH,44.101360156572326
1785304800000,ETH,44.225401105387014
1785308400000,ETH,44.26293238685387
1785312000000,ETH,44.29337800067196
1785315600000,ETH,44.29897565189143
1785319200000,ETH,44.330729147532935
1785322800000,ETH,44.36847851922804
1785326400000,ETH,44.27544737070362
1785330000000,ETH,44.278887953515515
1785333600000,ETH,40.96485892052139
1785337200000,ETH,40.88152682733225
1785340800000,ETH,40.957825162494466
1785344400000,ETH,40.93247186360309
1785348000000,ETH,40.939309355113345
1785351600000,ETH,41.29272569599729
1785355200000,ETH,41.29866680242471
1785358800000,ETH,42.09247626577321
1785362400000,ETH,42.10663337410046
1785366000000,ETH,42.26577934852272
1785369600000,ETH,42.29847880353343
1785373200000,ETH,42.23498185026574
1785376800000,ETH,42.27899009709137
1785380400000,ETH,42.452927713412194
1785384000000,ETH,42.45309784075646
1785387600000,ETH,42.346993181886226
1785391200000,ETH,42.3991446018462
1785394800000,ETH,42.382132793223214
1785398400000,ETH,42.368148969602316
1785402000000,ETH,42.34300194853247
1785405600000,ETH,42.385154636180935
1785409200000,ETH,42.39245453526609
