ts,open,high,low,close,volume
1543813200000,22.0,22.75,18.51,18.6,12995600
1544418000000,18.9,20.66,17.99,18.32,12614200
1545022800000,18.33,18.469999,13.95,14.47,8572100
1545627600000,14.32,14.95,13.03,14.15,5181800
1546232400000,14.24,17.5,14.213,16.959999,6553500
1546837200000,17.540001,17.940001,16.0,17.0,5733400
1547442000000,17.0,17.059999,16.049999,16.690001,2299500
1548046800000,16.620001,16.635,14.4,14.91,2684600
1548651600000,14.84,17.48,14.45,16.219999,4884600
1549256400000,16.219999,18.389999,15.95,17.99,3179700
1549861200000,17.99,21.466999,17.6,21.440001,5863300
1550466000000,21.51,21.513,18.879999,19.879999,3754800
1551070800000,20.540001,24.4,19.83,22.27,7371700
1551675600000,22.469999,22.799999,19.612,20.93,4930700
1552276800000,20.99,22.190001,19.120001,21.82,6869700
1552881600000,21.74,22.6,18.75,19.0,4646700
1553486400000,19.0,20.799999,18.209999,20.35,2765000
1554091200000,20.540001,26.23,19.540001,25.959999,5687300
1554696000000,25.9,29.790001,24.26,24.610001,6102400
1555300800000,24.99,26.219999,22.313999,22.51,3256000
1555905600000,22.700001,27.299999,22.511,26.26,3010900
1556510400000,26.280001,28.950001,24.971001,27.200001,4717500
1557115200000,26.379999,27.809999,22.75,24.92,3811700
1557720000000,24.459999,24.889999,21.68,23.08,3624600
1558324800000,22.85,23.6,21.01,21.83,3081800
1558929600000,22.299999,22.459999,20.74,20.780001,1911500
1559534400000,20.790001,20.99,17.200001,17.52,15114500
1560139200000,17.85,17.99,15.32,15.4,13918600
1560744000000,15.54,16.302,14.5,14.7,8892800
1561348800000,14.41,14.691,13.5,14.64,7756800
1561953600000,14.86,15.47,14.0,14.96,4261600
1562558400000,14.89,15.22,14.05,14.2,5667600
1563163200000,14.28,14.59,13.9,14.11,4840300
1563768000000,14.22,14.65,13.12,14.12,5844000
1564372800000,14.17,14.33,12.4,12.73,5749000
1564977600000,12.55,14.5,11.54,13.33,8294700
1565582400000,13.42,13.68,12.47,13.16,4969900
1566187200000,13.25,14.65,13.02,13.88,9220700
1566792000000,14.01,15.75,14.0,15.73,10610600
1567396800000,16.1,16.5,14.35,15.88,7501500
1568001600000,15.98,18.459999,15.36,16.709999,20432800
1568606400000,16.73,18.42,16.690001,18.07,44382200
1569211200000,18.24,18.48,15.675,15.9,19859400
1569816000000,15.79,16.27,14.41,15.51,7346000
1570420800000,15.45,15.63,13.87,14.055,7264400
1571025600000,14.19,14.85,13.53,14.81,5652200
1571630400000,14.9,17.1,14.66,17.01,4880500
1572235200000,17.01,17.24,15.52,15.66,4970700
1572843600000,15.9,17.719999,15.83,17.49,7663900
1573448400000,17.33,19.43,17.200001,19.370001,8347500
1574053200000,19.209999,20.73,18.67,20.690001,7027600
1574658000000,20.9,21.0,19.82,20.360001,6224200
1575262800000,20.299999,21.5,18.82,18.940001,9974600
1575867600000,19.07,19.299999,18.32,18.620001,8282700
1576472400000,18.6,20.0,18.219999,19.83,17744100
1577077200000,19.790001,20.110001,19.25,19.52,4075800
1577682000000,19.540001,19.940001,18.719999,18.889999,5280300
1578286800000,18.700001,21.0,17.68,19.139999,10109900
1578891600000,19.26,21.870001,18.6,20.620001,14312100
1579496400000,20.790001,23.200001,20.645,21.120001,19622000
1580101200000,22.1,23.5,20.049999,20.51,26511300
1580706000000,20.66,23.389999,19.67,23.24,19710500
1581310800000,23.5,23.950001,18.5,19.0,46998400
1581915600000,19.139999,19.35,17.91,18.23,15483200
1582520400000,19.23,36.0,18.299999,25.93,241561800
1583125200000,27.0,30.75,25.209999,29.610001,98268300
1583726400000,30.0,30.0,19.309999,21.299999,65111600
1584331200000,23.76,34.98,22.219999,28.200001,166512400
1584936000000,28.709999,31.09,24.360001,30.049999,51261900
1585540800000,30.59,35.66,28.27,34.84,56607200
1586145600000,34.91,35.185001,30.98,31.860001,29927500
1586750400000,32.0,49.0,31.709999,46.849998,82370500
1587355200000,45.0,56.380001,43.110001,50.5,112269100
1587960000000,51.529999,51.700001,45.009998,47.93,68016800
1588564800000,48.049999,59.880001,47.23,59.25,83338900
1589169600000,59.599998,68.489998,59.139999,66.690002,111452600
1589774400000,86.139999,87.0,65.309998,69.0,263631600
1590379200000,66.400002,66.589996,46.130001,61.5,170176600
1590984000000,62.759998,63.900002,55.355,58.189999,91952000
1591588800000,58.299999,66.686996,56.720001,62.0,76752000
1592193600000,65.900002,66.980003,62.580002,66.349998,76484200
1592798400000,65.919998,67.0,58.509998,61.279999,81096800
1593403200000,61.82,65.158997,55.810001,58.57,64490300
1594008000000,58.549999,65.349998,57.099998,62.610001,54526100
1594612800000,63.889999,95.209999,63.799999,94.849998,316868800
1595217600000,87.860001,90.849998,66.540001,73.209999,188908800
1595822400000,80.629997,83.849998,73.603996,74.099998,129423900
1596427200000,74.980003,78.620003,73.010002,74.099998,63803600
1597032000000,74.269997,75.75,67.0,69.150002,105014600
1597636800000,69.139999,70.779999,65.230003,66.449997,41919400
1598241600000,67.150002,71.639999,62.880001,67.489998,65340600
1598846400000,67.139999,69.349998,59.009998,62.599998,59290600
1599451200000,57.75,60.32,54.209999,59.34,39868800
1600056000000,60.150002,70.900002,60.115002,69.870003,55858600
1600660800000,68.599998,69.730003,63.639999,69.470001,36201800
1601265600000,69.589996,75.389999,67.25,68.809998,43899600
1601870400000,69.639999,73.919998,69.050003,73.0,26792000
1602475200000,73.610001,81.370003,72.919998,73.940002,37597300
1603080000000,73.970001,74.089996,68.059998,70.529999,25934600
1603684800000,70.360001,74.539001,65.489998,67.470001,34576600
1604293200000,68.019997,74.160004,66.550003,72.449997,24750200
1604898000000,77.75,90.529999,73.519997,89.389999,85163900
1605502800000,100.309998,103.199997,88.610001,97.610001,150156900
1606107600000,100.769997,130.059998,93.540001,127.029999,98164100
1606712400000,144.0,178.5,128.100006,152.520004,315912100
1607317200000,155.029999,170.800003,147.199997,156.929993,144230100
1607922000000,163.399994,163.761002,134.309998,140.229996,152957600
1608526800000,140.839996,147.259995,115.0,123.389999,114582400
1609131600000,120.040001,122.879997,102.660004,104.470001,102142400
1609736400000,107.230003,122.82,103.260002,112.75,92472300
1610341200000,112.75,133.289993,112.620003,129.649994,75367600
1610946000000,122.099998,137.0,120.5,131.020004,55478500
1611550800000,138.399994,185.979996,137.25,173.160004,120383200
1612155600000,173.029999,177.5,147.100006,176.240005,67944600
1612760400000,177.0,189.259995,176.199997,183.740005,39567600
1613365200000,182.410004,184.179993,168.0,174.740005,25009800
