ts,instrument,funding_rate
1786550400000,BTC-USDT-SWAP,8.87121109659e-05
1786521600000,BTC-USDT-SWAP,6.65167980022e-05
1786492800000,BTC-USDT-SWAP,4.95294037917e-05
1786464000000,BTC-USDT-SWAP,0.0001
1786435200000,BTC-USDT-SWAP,0.0001
1786406400000,BTC-USDT-SWAP,0.0001
1786377600000,BTC-USDT-SWAP,9.6723689051e-05
1786348800000,BTC-USDT-SWAP,5.74400912064e-05
1786320000000,BTC-USDT-SWAP,9.22148908769e-05
1786291200000,BTC-USDT-SWAP,1.04271043705e-05
1786262400000,BTC-USDT-SWAP,7.399680428e-06
1786233600000,BTC-USDT-SWAP,4.6530528329e-05
1786204800000,BTC-USDT-SWAP,2.5113246157e-05
1786176000000,BTC-USDT-SWAP,3.55955914474e-05
1786147200000,BTC-USDT-SWAP,3.77794416445e-05
1786118400000,BTC-USDT-SWAP,1.18733046652e-05
1786089600000,BTC-USDT-SWAP,7.3281191651e-05
1786060800000,BTC-USDT-SWAP,5.16952207192e-05
1786032000000,BTC-USDT-SWAP,5.95020744934e-05
1786003200000,BTC-USDT-SWAP,6.41484120459e-05
1785974400000,BTC-USDT-SWAP,6.78768004445e-05
1785945600000,BTC-USDT-SWAP,-1.26370128981e-05
1785916800000,BTC-USDT-SWAP,5.83548644242e-05
1785888000000,BTC-USDT-SWAP,2.47201823115e-05
1785859200000,BTC-USDT-SWAP,8.61606534537e-05
1785830400000,BTC-USDT-SWAP,7.65568315504e-05
1785801600000,BTC-USDT-SWAP,2.0744694233e-05
1785772800000,BTC-USDT-SWAP,9.3903184464e-06
1785744000000,BTC-USDT-SWAP,5.59014076037e-05
1785715200000,BTC-USDT-SWAP,4.65977825645e-05
1785686400000,BTC-USDT-SWAP,1.45842068056e-05
1785657600000,BTC-USDT-SWAP,3.86614321009e-05
1785628800000,BTC-USDT-SWAP,3.932477315e-06
1785600000000,BTC-USDT-SWAP,-1.67608519619e-05
1785571200000,BTC-USDT-SWAP,2.58948940129e-05
1785542400000,BTC-USDT-SWAP,5.39822210069e-05
1785513600000,BTC-USDT-SWAP,8.52982373885e-05
1785484800000,BTC-USDT-SWAP,6.14627349266e-05
1785456000000,BTC-USDT-SWAP,8.3718938775e-05
1785427200000,BTC-USDT-SWAP,6.54209108987e-05
1785398400000,BTC-USDT-SWAP,9.62099627254e-05
1785369600000,BTC-USDT-SWAP,4.04338305763e-05
1785340800000,BTC-USDT-SWAP,8.32522231396e-05
1785312000000,BTC-USDT-SWAP,2.96713694924e-05
1785283200000,BTC-USDT-SWAP,6.30482846255e-05
1785254400000,BTC-USDT-SWAP,2.17766318961e-05
1785225600000,BTC-USDT-SWAP,-1.91622586045e-05
1785196800000,BTC-USDT-SWAP,2.42408062139e-05
1785168000000,BTC-USDT-SWAP,2.28280571175e-05
1785139200000,BTC-USDT-SWAP,5.25092874623e-05
1785110400000,BTC-USDT-SWAP,7.56427045204e-05
1785081600000,BTC-USDT-SWAP,1.07069213573e-05
1785052800000,BTC-USDT-SWAP,2.91130085216e-05
1785024000000,BTC-USDT-SWAP,4.04469961172e-05
1784995200000,BTC-USDT-SWAP,-1.9531187263e-06
1784966400000,BTC-USDT-SWAP,2.85540115723e-05
1784937600000,BTC-USDT-SWAP,2.97244816893e-05
1784908800000,BTC-USDT-SWAP,4.63556429945e-05
1784880000000,BTC-USDT-SWAP,-8.3475733975e-06
1784851200000,BTC-USDT-SWAP,1.46168809e-07
1784822400000,BTC-USDT-SWAP,3.09437083436e-05
1784793600000,BTC-USDT-SWAP,-3.33148169405e-05
1784764800000,BTC-USDT-SWAP,3.45300865541e-05
1784736000000,BTC-USDT-SWAP,7.2341658587e-06
1784707200000,BTC-USDT-SWAP,-4.6095462073e-06
1784678400000,BTC-USDT-SWAP,6.45951712624e-05
1784649600000,BTC-USDT-SWAP,-3.86532726688e-05
1784620800000,BTC-USDT-SWAP,1.70667772237e-05
1784592000000,BTC-USDT-SWAP,7.8604607579e-06
1784563200000,BTC-USDT-SWAP,1.51065561787e-05
1784534400000,BTC-USDT-SWAP,-1.0642569389e-06
1784505600000,BTC-USDT-SWAP,1.49115311815e-05
1784476800000,BTC-USDT-SWAP,4.22130855567e-05
1784448000000,BTC-USDT-SWAP,5.94778872743e-05
1784419200000,BTC-USDT-SWAP,1.66804274372e-05
1784390400000,BTC-USDT-SWAP,8.63693379528e-05
1784361600000,BTC-USDT-SWAP,5.07952841494e-05
1784332800000,BTC-USDT-SWAP,3.80167412203e-05
1784304000000,BTC-USDT-SWAP,5.46348466336e-05
1784275200000,BTC-USDT-SWAP,2.95604398968e-05
1784246400000,BTC-USDT-SWAP,5.3773733806e-05
1784217600000,BTC-USDT-SWAP,1.498971488e-05
1784188800000,BTC-USDT-SWAP,3.78071378877e-05
1784160000000,BTC-USDT-SWAP,8.11290335628e-05
1784131200000,BTC-USDT-SWAP,2.95691248966e-05
1784102400000,BTC-USDT-SWAP,0.0001
1784073600000,BTC-USDT-SWAP,0.0001
1784044800000,BTC-USDT-SWAP,7.99498182818e-05
1784016000000,BTC-USDT-SWAP,1.56977471317e-05
1783987200000,BTC-USDT-SWAP,6.66043492605e-05
1783958400000,BTC-USDT-SWAP,8.85517560254e-05
1783929600000,BTC-USDT-SWAP,7.0183139456e-06
1783900800000,BTC-USDT-SWAP,6.70987512867e-05
1783872000000,BTC-USDT-SWAP,5.64601192152e-05
1783843200000,BTC-USDT-SWAP,6.27690257703e-05
1783814400000,BTC-USDT-SWAP,6.65193799449e-05
1783785600000,BTC-USDT-SWAP,3.4033691268e-05
1783756800000,BTC-USDT-SWAP,-2.15211796162e-05
1783728000000,BTC-USDT-SWAP,8.22511513621e-05
1783699200000,BTC-USDT-SWAP,7.54950605994e-05
