Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-08-13 00:00:00-04:00,204.53880190582615,204.7570930498025,194.71570042689106,195.15228271484375,6375460,0.0,0.0,0.0
2024-08-14 00:00:00-04:00,194.06082590750322,200.60956019009615,191.87791447997225,194.93399047851562,6356972,0.0,0.0,0.0
2024-08-15 00:00:00-04:00,187.51206303335564,187.94864525229244,179.87187420196165,180.30845642089844,6445940,0.0,0.0,0.0
2024-08-16 00:00:00-04:00,182.49139508123386,183.80114193588386,178.3438633748422,179.6536102294922,4833428,0.0,0.0,0.0
2024-08-19 00:00:00-04:00,179.871898983045,182.0548103784703,172.88658251768405,173.10487365722656,5167436,0.0,0.0,0.0
2024-08-20 00:00:00-04:00,173.97801433844919,175.9426343247052,171.14022991385718,174.4145965576172,5628868,0.0,0.0,0.0
2024-08-21 00:00:00-04:00,173.32314162703264,175.28776162028615,169.6121927508871,171.57681274414062,5185076,0.0,0.0,0.0
2024-08-22 00:00:00-04:00,169.3938988250436,181.181618588642,168.7390255048437,179.8718719482422,7801676,0.0,0.0,0.0
2024-08-23 00:00:00-04:00,175.5060509703213,179.87187313376214,171.1402288068805,174.19630432128906,7452056,0.0,0.0,0.0
2024-08-26 00:00:00-04:00,175.06949623821717,181.83652165390887,173.97804052600884,179.6536102294922,5300188,0.0,0.0,0.0
2024-08-27 00:00:00-04:00,181.61819042369632,183.80110136628883,176.8157863499928,177.90724182128906,4513636,0.0,0.0,0.0
2024-08-28 00:00:00-04:00,178.78042353047013,188.16694149360836,177.90725906878285,184.23770141601562,6256956,0.0,0.0,0.0
2024-08-29 00:00:00-04:00,182.27308469229632,186.63890708013577,176.59751558810507,184.892578125,7909652,0.0,0.0,0.0
2024-08-30 00:00:00-04:00,180.52675610053828,185.76574297649103,178.12555378239327,178.99871826171875,6081716,0.0,0.0,0.0
2024-09-03 00:00:00-04:00,182.4913688787535,197.9900377667816,182.2730777676545,195.37054443359375,6674312,0.0,0.0,0.0
2024-09-04 00:00:00-04:00,199.29980673668254,200.60955354984804,191.87790812874476,196.68031311035156,8113300,0.0,0.0,0.0
2024-09-05 00:00:00-04:00,199.08148356119793,200.39123016357422,190.786421746148,196.4619903564453,7247848,0.0,0.0,0.0
2024-09-06 00:00:00-04:00,197.7717563016915,213.27042594564307,196.46200957121673,212.17897033691406,9432920,0.0,0.0,0.0
