Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-09-14 09:30:00-04:00,330.5,332.0,326.25,326.375,5837351,0.0,0.0,0.0
2023-09-14 10:30:00-04:00,326.25,327.25,324.5,325.875,2918102,0.0,0.0,0.0
2023-09-14 11:30:00-04:00,326.0,328.5,325.25,327.0,1773577,0.0,0.0,0.0
2023-09-14 12:30:00-04:00,327.0,327.75,324.5,325.75,1179858,0.0,0.0,0.0
2023-09-14 13:30:00-04:00,325.75,325.75,324.5,325.125,1036169,0.0,0.0,0.0
2023-09-14 14:30:00-04:00,325.177490234375,325.5,323.25,325.2449951171875,1414219,0.0,0.0,0.0
2023-09-14 15:30:00-04:00,325.25,325.625,321.25,321.75,1956842,0.0,0.0,0.0
2023-09-15 09:30:00-04:00,323.49749755859375,326.875,320.0,325.25,5584173,0.0,0.0,0.0
2023-09-15 10:30:00-04:00,325.5,335.0,324.0,329.9375,4479145,0.0,0.0,0.0
2023-09-15 11:30:00-04:00,330.0,332.75,328.25250244140625,331.7975158691406,2349070,0.0,0.0,0.0
2023-09-15 12:30:00-04:00,331.875,340.25,328.5,339.25,3031288,0.0,0.0,0.0
2023-09-15 13:30:00-04:00,339.5,342.5,335.0,342.0,3163422,0.0,0.0,0.0
2023-09-15 14:30:00-04:00,342.125,342.48748779296875,335.0,337.75,3108622,0.0,0.0,0.0
2023-09-15 15:30:00-04:00,337.5,342.25,337.0,340.2674865722656,2723785,0.0,0.0,0.0
2023-09-18 09:30:00-04:00,347.0,350.75,340.25,342.25,5103673,0.0,0.0,0.0
2023-09-18 10:30:00-04:00,342.25,343.0,336.0,336.125,2499321,0.0,0.0,0.0
2023-09-18 11:30:00-04:00,336.25,336.25,329.75,331.5,2369533,0.0,0.0,0.0
2023-09-18 12:30:00-04:00,331.25,333.0,329.75,331.75,1267795,0.0,0.0,0.0
2023-09-18 13:30:00-04:00,331.5,333.125,329.0,332.5,1796864,0.0,0.0,0.0
2023-09-18 14:30:00-04:00,332.625,337.32501220703125,332.0,335.375,1742514,0.0,0.0,0.0
