Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-08-13 00:00:00-04:00,29.913949330573224,31.263413928580906,29.884507664649895,31.189807891845703,108962800,0.0,0.0,0.0
2024-08-14 00:00:00-04:00,31.400816192894023,31.719779439014467,30.360500286850623,31.243785858154297,124710600,0.0,0.0,0.0
2024-08-15 00:00:00-04:00,32.45094519474048,33.67773131838058,32.382245471324964,33.59431076049805,106424800,0.0,0.0,0.0
2024-08-16 00:00:00-04:00,33.18210546012426,33.986876688924674,32.97109814136236,33.68263244628906,89675200,0.0,0.0,0.0
2024-08-19 00:00:00-04:00,33.702264862125986,35.012471400730284,33.314600040079995,34.987937927246094,91599800,0.0,0.0,0.0
2024-08-20 00:00:00-04:00,34.79165127233067,35.36087802238611,34.394170067496276,34.77202224731445,97859000,0.0,0.0,0.0
2024-08-21 00:00:00-04:00,34.929051247683795,35.655310209181984,34.55610725427371,35.248016357421875,103000800,0.0,0.0,0.0
2024-08-22 00:00:00-04:00,35.753456157635064,35.90067199442242,33.32932550669001,33.5550537109375,127496400,0.0,0.0,0.0
2024-08-23 00:00:00-04:00,34.44815168703025,35.19403972148806,33.61393864876313,34.61008834838867,128753200,0.0,0.0,0.0
2024-08-26 00:00:00-04:00,34.482502715980154,34.6787892445334,33.137946172749764,33.59431076049805,84981400,0.0,0.0,0.0
2024-08-27 00:00:00-04:00,33.23608686400676,34.10464967608778,32.80425581017126,33.87892150878906,71532600,0.0,0.0,0.0
2024-08-28 00:00:00-04:00,33.76115124620609,33.9181796999341,31.9749511811048,32.730648040771484,118625800,0.0,0.0,0.0
2024-08-29 00:00:00-04:00,33.09868400432035,34.070300140773654,32.284100066274874,32.55889892578125,120033600,0.0,0.0,0.0
2024-08-30 00:00:00-04:00,33.427462548630096,33.79549830759416,32.47547552074331,33.667911529541016,92946800,0.0,0.0,0.0
2024-09-03 00:00:00-04:00,33.00545217677484,33.03489384326302,30.075886557878363,30.59604263305664,147572600,0.0,0.0,0.0
2024-09-04 00:00:00-04:00,29.953207568072564,31.096571152121886,29.761829250668416,30.33596420288086,96798400,0.0,0.0,0.0
2024-09-05 00:00:00-04:00,30.002277637536405,31.268321667850227,29.79617849135147,30.434106826782227,110171600,0.0,0.0,0.0
2024-09-06 00:00:00-04:00,30.232912541325945,30.409570013485652,27.833319578985687,27.96581268310547,169904600,0.0,0.0,0.0
2024-09-09 00:00:00-04:00,28.741142087469292,29.192600306188755,28.13756360368691,29.006128311157227,110835000,0.0,0.0,0.0
2024-09-10 00:00:00-04:00,29.334907271646415,29.894321407945327,28.559579465596308,29.786365509033203,91582400,0.0,0.0,0.0
2024-09-11 00:00:00-04:00,30.021905297722686,31.87189682479525,28.348569371380847,31.685426712036133,163475200,0.0,0.0,0.0
2024-09-12 00:00:00-04:00,31.714871260954713,32.823886885990056,31.351743642508296,32.62269592285156,109802600,0.0,0.0,0.0
2024-09-13 00:00:00-04:00,32.46075442591801,33.30478369197451,32.411683740558445,33.04961013793945,87966600,0.0,0.0,0.0
2024-09-16 00:00:00-04:00,32.59324654508253,32.7355541572273,31.911153891465023,32.607967376708984,82331000,0.0,0.0,0.0
2024-09-17 00:00:00-04:00,33.22136175447863,33.49616435083276,32.12707079266138,32.62759780883789,103114400,0.0,0.0,0.0
2024-09-18 00:00:00-04:00,32.88768082945528,33.74152666901037,32.08781762282462,32.20068359375,166396200,0.0,0.0,0.0
2024-09-19 00:00:00-04:00,34.49722504333554,35.233296669490464,34.060489511325265,34.63462448120117,114801400,0.0,0.0,0.0
2024-09-20 00:00:00-04:00,34.423615670378794,34.68369370156109,33.520699233827756,34.41379928588867,96759600,0.0,0.0,0.0
2024-09-23 00:00:00-04:00,34.65424736978422,34.91432536594837,34.3696321595523,34.668968200683594,69837000,0.0,0.0,0.0
2024-09-24 00:00:00-04:00,34.97812136885817,35.37559882955083,34.04576327245889,35.15968704223633,81259600,0.0,0.0,0.0
2024-09-25 00:00:00-04:00,35.02184502730797,35.68644212814307,34.98246054947361,35.28276062011719,64724800,0.115,0.0,0.0
2024-09-26 00:00:00-04:00,36.882715490260615,36.956560441372616,35.23845310799064,36.03104782104492,107003200,0.0,0.0,0.0
2024-09-27 00:00:00-04:00,36.24273824175106,36.26243048104476,35.14491937556904,35.41075897216797,82930600,0.0,0.0,0.0
2024-09-30 00:00:00-04:00,35.17938412688332,35.75044786800789,34.549247416615565,35.68644714355469,85862800,0.0,0.0,0.0
2024-10-01 00:00:00-04:00,35.58306161302069,35.656906571896435,33.32835090335689,34.17509841918945,134760200,0.0,0.0,0.0
2024-10-02 00:00:00-04:00,33.97326020514915,34.72647053747175,33.41204451612797,34.303096771240234,79119400,0.0,0.0,0.0
2024-10-03 00:00:00-04:00,33.83541379466395,34.85938383782231,33.66803165639784,34.22432327270508,97749400,0.0,0.0,0.0
2024-10-04 00:00:00-04:00,35.44521867962395,35.523987635082385,34.35232383605653,35.430450439453125,110700400,0.0,0.0,0.0
2024-10-07 00:00:00-04:00,34.97753568912261,35.23845124748709,33.997866650854014,34.26370620727539,82403400,0.0,0.0,0.0
2024-10-08 00:00:00-04:00,34.78554534254608,35.92766889754777,34.6132391926309,35.75044250488281,77914000,0.0,0.0,0.0
2024-10-09 00:00:00-04:00,35.70121308607171,36.73995529358538,35.47475795515126,36.611961364746094,78696200,0.0,0.0,0.0
2024-10-10 00:00:00-04:00,36.09504594835418,36.897484928205486,35.799669890218816,36.48395919799805,86060600,0.0,0.0,0.0
2024-10-11 00:00:00-04:00,36.02120394935645,36.82364675093568,35.888286026862026,36.57749938964844,70735200,0.0,0.0,0.0
2024-10-14 00:00:00-04:00,37.13871047649201,37.818075757436304,37.02548105171286,37.51285171508789,67691200,0.0,0.0,0.0
2024-10-15 00:00:00-04:00,37.58669464546516,37.734384538385726,35.51413468203049,36.01627731323242,106307600,0.0,0.0,0.0
2024-10-16 00:00:00-04:00,36.0556587996492,36.17873246107501,35.28275635613155,35.996585845947266,70784200,0.0,0.0,0.0
2024-10-17 00:00:00-04:00,37.207635600705544,37.21747984244181,36.06058800903377,36.10489273071289,97697800,0.0,0.0,0.0
2024-10-18 00:00:00-04:00,36.65625985801959,36.99594437461703,36.49380171913297,36.744873046875,64151600,0.0,0.0,0.0
2024-10-21 00:00:00-04:00,36.45934564775332,37.128866765340895,36.02612764763044,36.946720123291016,74995800,0.0,0.0,0.0
2024-10-22 00:00:00-04:00,36.336269587500176,37.389779915523455,36.163967198507656,37.05501937866211,76308000,0.0,0.0,0.0
2024-10-23 00:00:00-04:00,36.513494991472015,36.661184895721895,34.59846901415943,35.341835021972656,118172200,0.0,0.0,0.0
2024-10-24 00:00:00-04:00,36.14427793499393,36.331352334933634,35.56337000721777,36.18366241455078,78612800,0.0,0.0,0.0
2024-10-25 00:00:00-04:00,36.77440947804378,37.90668869466405,36.62179933583963,36.79410171508789,114826000,0.0,0.0,0.0
2024-10-28 00:00:00-04:00,37.50793663524432,37.50793663524432,36.754726300200666,36.82856750488281,69162200,0.0,0.0,0.0
2024-10-29 00:00:00-04:00,36.88764114840895,38.1331461089924,36.46426741595389,37.84761428833008,78545200,0.0,0.0,0.0
2024-10-30 00:00:00-04:00,37.685155897380504,37.896842741148674,36.89256123275386,37.00578689575195,80473200,0.0,0.0,0.0
2024-10-31 00:00:00-04:00,36.09012293808526,36.099970935308626,34.180020870991775,34.18986511230469,138905200,0.0,0.0,0.0
2024-11-01 00:00:00-04:00,34.50001113059394,35.62244236929613,34.445858416804775,34.918460845947266,96678800,0.0,0.0,0.0
2024-11-04 00:00:00-05:00,34.77569821693606,35.32706964748259,34.21940654351642,34.59354782104492,82214400,0.0,0.0,0.0
2024-11-05 00:00:00-05:00,34.92830515075222,36.05566038984251,34.9135369116754,35.90797424316406,79352600,0.0,0.0,0.0
2024-11-06 00:00:00-05:00,37.73931413666361,38.99958738787158,37.507935022844215,38.82236099243164,118794200,0.0,0.0,0.0
2024-11-07 00:00:00-05:00,39.46235087992552,40.82600575107134,39.43281063947106,40.63893508911133,99545200,0.0,0.0,0.0
2024-11-08 00:00:00-05:00,40.47647679705044,40.91461884411505,40.32386661946261,40.73739242553711,70060000,0.0,0.0,0.0
2024-11-11 00:00:00-05:00,41.02291280767992,41.07214151996398,39.964478591977795,40.663536071777344,70806000,0.0,0.0,0.0
2024-11-12 00:00:00-05:00,40.63400743093183,40.845694314891254,39.70357069248271,40.442012786865234,68286000,0.0,0.0,0.0
2024-11-13 00:00:00-05:00,40.29924624690815,40.90476665171099,39.71833832466105,40.26478576660156,74989000,0.0,0.0,0.0
2024-11-14 00:00:00-05:00,40.16632293349809,40.38293380427029,39.196505525519164,39.41311264038086,77651400,0.0,0.0,0.0
2024-11-15 00:00:00-05:00,38.03960914091298,38.128222335575856,36.080278373015574,36.56272506713867,120601600,0.0,0.0,0.0
2024-11-18 00:00:00-05:00,36.88764080291871,37.77869297859786,36.582416746871814,37.30116653442383,77551200,0.0,0.0,0.0
2024-11-19 00:00:00-05:00,36.70057113305076,38.17745522281682,36.63657041871153,38.04945755004883,80088200,0.0,0.0,0.0
2024-11-20 00:00:00-05:00,37.980533547301874,38.04945449882461,36.48395733897497,38.00514602661133,101260600,0.0,0.0,0.0
2024-11-21 00:00:00-05:00,38.66975118267048,38.832205583359865,36.70549257485761,38.379295349121094,109865600,0.0,0.0,0.0
2024-11-22 00:00:00-05:00,38.2217565409247,38.699282955061406,37.84761155316139,38.522056579589844,79934800,0.0,0.0,0.0
2024-11-25 00:00:00-05:00,39.462345716645586,39.811874509683875,38.17253222561835,38.69928741455078,91515800,0.0,0.0,0.0
2024-11-26 00:00:00-05:00,39.03404900989772,39.50665149293571,38.837130369654226,39.299888610839844,69747200,0.0,0.0,0.0
2024-11-27 00:00:00-05:00,39.034051368249266,39.04389561069641,37.57685935186413,38.349761962890625,78463600,0.0,0.0,0.0
2024-11-29 00:00:00-05:00,38.4629823017344,39.46726390761936,38.32514039118535,39.32942199707031,40865800,0.0,0.0,0.0
2024-12-02 00:00:00-05:00,39.619876157945555,40.835840821422856,39.5263389700203,40.60446548461914,73638200,0.0,0.0,0.0
2024-12-03 00:00:00-05:00,40.269710678570306,41.02292101942893,40.136788997294815,40.963844299316406,84810800,0.0,0.0,0.0
2024-12-04 00:00:00-05:00,41.7810496004187,42.51949159844435,41.60382322041973,42.46041488647461,69992600,0.0,0.0,0.0
2024-12-05 00:00:00-05:00,42.460422070337955,42.65241672183531,42.01243204623688,42.11089324951172,54020400,0.0,0.0,0.0
2024-12-06 00:00:00-05:00,42.22903824488186,43.25793610828147,42.19950176513704,43.19393539428711,62740600,0.0,0.0,0.0
2024-12-09 00:00:00-05:00,42.952708995900835,43.154551608919036,41.88443048733527,42.184730529785156,69577600,0.0,0.0,0.0
2024-12-10 00:00:00-05:00,42.46041621604544,42.88871394043936,41.37736942072494,41.726898193359375,71541600,0.0,0.0,0.0
2024-12-11 00:00:00-05:00,42.77056110316844,44.119451251340955,42.672103668020405,43.956993103027344,74897800,0.0,0.0,0.0
2024-12-12 00:00:00-05:00,43.385932404466054,43.7010007253959,42.96748264284772,43.08563232421875,66348400,0.0,0.0,0.0
2024-12-13 00:00:00-05:00,44.02099078672325,44.68558787471574,43.24808826473441,44.011146545410156,79663600,0.0,0.0,0.0
2024-12-16 00:00:00-05:00,44.660976903370994,46.17232151998252,44.63636066539034,45.92617416381836,69967600,0.0,0.0,0.0
2024-12-17 00:00:00-05:00,45.453572193277125,45.739104031003244,44.88250851782488,45.31080627441406,69168200,0.0,0.0,0.0
2024-12-18 00:00:00-05:00,45.11880759059208,45.57171778892546,40.01863447117449,40.41246795654297,134849200,0.0,0.0,0.0
2024-12-19 00:00:00-05:00,41.4856701701215,41.61366783592029,39.752794585081325,39.841407775878906,113317600,0.0,0.0,0.0
2024-12-20 00:00:00-05:00,38.920814663684375,42.268419858002844,38.64513085564998,40.87522506713867,145241000,0.0,0.0,0.0
2024-12-23 00:00:00-05:00,41.21850813666118,42.10264438590581,40.418342955582034,42.013736724853516,83645800,0.1375,0.0,0.0
2024-12-24 00:00:00-05:00,42.45333010266315,43.70297758426467,42.30021283502758,43.68321990966797,48139600,0.0,0.0,0.0
2024-12-26 00:00:00-05:00,43.27820720226753,43.99934553726254,42.769455440367494,43.58938217163086,59062000,0.0,0.0,0.0
2024-12-27 00:00:00-05:00,42.660790679902945,42.76945225511758,40.640612405273565,41.81616973876953,102139000,0.0,0.0,0.0
2024-12-30 00:00:00-05:00,40.107164274049325,41.02587551583364,39.22303179283587,40.136802673339844,102844000,0.0,0.0,0.0
2024-12-31 00:00:00-05:00,40.403525848095626,40.58134117111543,38.862460971387804,39.0847282409668,105177600,0.0,0.0,0.0
2025-01-02 00:00:00-05:00,39.7811701607831,40.30967574121427,37.8005074402326,38.83776092529297,141370600,0.0,0.0,0.0
2025-01-03 00:00:00-05:00,39.509507943322944,40.95178817041508,39.32675603168511,40.69988250732422,92431600,0.0,0.0,0.0
2025-01-06 00:00:00-05:00,41.96928729080857,42.89787554196898,41.5049912810325,42.08782958984375,92050000,0.0,0.0,0.0
2025-01-07 00:00:00-05:00,42.33973570340852,42.42370300906308,39.371211457010574,39.8206901550293,111021000,0.0,0.0,0.0
2025-01-08 00:00:00-05:00,39.791053501166346,40.21089758466086,38.74392289433057,39.85032653808594,96021200,0.0,0.0,0.0
2025-01-10 00:00:00-05:00,38.92173238188594,38.931609335690815,37.15840030899126,37.94868850708008,145651600,0.0,0.0,0.0
2025-01-13 00:00:00-05:00,36.57556632389603,37.63751421202605,36.22487224444664,37.55354690551758,113382000,0.0,0.0,0.0
2025-01-14 00:00:00-05:00,38.269742463116096,38.556219331546025,36.644710425357665,37.42018127441406,125271000,0.0,0.0,0.0
2025-01-15 00:00:00-05:00,39.17363344232073,40.24052531343735,38.82294317960868,39.94910430908203,106919200,0.0,0.0,0.0
2025-01-16 00:00:00-05:00,40.50725522770039,40.52701290667126,39.11930748503453,39.13412857055664,93055400,0.0,0.0,0.0
2025-01-17 00:00:00-05:00,41.3370587294467,41.460541396203666,40.423283980731625,41.06539535522461,87352200,0.0,0.0,0.0
2025-01-21 00:00:00-05:00,41.712438100413806,42.05819178507733,40.66530762919472,41.747013092041016,83451800,0.0,0.0,0.0
2025-01-22 00:00:00-05:00,42.89293070787644,43.91537064876541,42.828721087675916,43.36710739135742,86265400,0.0,0.0,0.0
2025-01-23 00:00:00-05:00,42.74476186823102,43.65359251844471,42.611398473180756,43.63383483886719,60481000,0.0,0.0,0.0
2025-01-24 00:00:00-05:00,43.67828379640952,43.8758567931984,42.4829726300044,42.848480224609375,72479200,0.0,0.0,0.0
2025-01-27 00:00:00-05:00,38.31913772623993,40.02319682774257,38.121564728056214,39.08966827392578,161821600,0.0,0.0,0.0
2025-01-28 00:00:00-05:00,39.30700116131183,41.080210346731896,38.52658984717303,40.823368072509766,101033400,0.0,0.0,0.0
2025-01-29 00:00:00-05:00,40.951789410625196,40.986364403203076,39.642872517219914,40.57146072387695,118481200,0.0,0.0,0.0
2025-01-30 00:00:00-05:00,41.2283885146864,41.78158838470755,39.939229324396926,41.08020782470703,115171000,0.0,0.0,0.0
2025-01-31 00:00:00-05:00,41.94459042493415,43.01641904459789,40.59122148193956,40.85794448852539,118146600,0.0,0.0,0.0
