Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-02 00:00:00-04:00,50927.0,50941.0,50927.0,50931.0,110,0.0,0.0
2026-06-02 00:15:00-04:00,50931.0,50936.0,50926.0,50929.0,91,0.0,0.0
2026-06-02 00:30:00-04:00,50928.0,50928.0,50915.0,50916.0,132,0.0,0.0
2026-06-02 00:45:00-04:00,50915.0,50948.0,50915.0,50946.0,225,0.0,0.0
2026-06-02 01:00:00-04:00,50948.0,50952.0,50934.0,50942.0,171,0.0,0.0
2026-06-02 01:15:00-04:00,50943.0,50962.0,50943.0,50960.0,144,0.0,0.0
2026-06-02 01:30:00-04:00,50960.0,50977.0,50960.0,50972.0,217,0.0,0.0
2026-06-02 01:45:00-04:00,50975.0,50975.0,50950.0,50950.0,193,0.0,0.0
2026-06-02 02:00:00-04:00,50950.0,50983.0,50943.0,50977.0,260,0.0,0.0
2026-06-02 02:15:00-04:00,50979.0,50986.0,50973.0,50985.0,132,0.0,0.0
2026-06-02 02:30:00-04:00,50983.0,50994.0,50972.0,50982.0,388,0.0,0.0
2026-06-02 02:45:00-04:00,50980.0,51005.0,50974.0,50996.0,308,0.0,0.0
2026-06-02 03:00:00-04:00,50997.0,51033.0,50995.0,51027.0,432,0.0,0.0
2026-06-02 03:15:00-04:00,51027.0,51041.0,51017.0,51028.0,427,0.0,0.0
2026-06-02 03:30:00-04:00,51028.0,51054.0,51020.0,51044.0,331,0.0,0.0
2026-06-02 03:45:00-04:00,51045.0,51082.0,51045.0,51077.0,379,0.0,0.0
2026-06-02 04:00:00-04:00,51078.0,51084.0,51033.0,51033.0,647,0.0,0.0
2026-06-02 04:15:00-04:00,51033.0,51050.0,51003.0,51003.0,683,0.0,0.0
2026-06-02 04:30:00-04:00,51004.0,51014.0,50989.0,51012.0,362,0.0,0.0
2026-06-02 04:45:00-04:00,51010.0,51028.0,51003.0,51015.0,297,0.0,0.0
2026-06-02 05:00:00-04:00,51015.0,51015.0,50982.0,50985.0,278,0.0,0.0
2026-06-02 05:15:00-04:00,50986.0,50986.0,50931.0,50939.0,424,0.0,0.0
2026-06-02 05:30:00-04:00,50937.0,50944.0,50909.0,50932.0,328,0.0,0.0
2026-06-02 05:45:00-04:00,50937.0,50951.0,50907.0,50924.0,478,0.0,0.0
2026-06-02 06:00:00-04:00,50926.0,50933.0,50903.0,50926.0,289,0.0,0.0
2026-06-02 06:15:00-04:00,50925.0,50932.0,50916.0,50927.0,347,0.0,0.0
2026-06-02 06:30:00-04:00,50934.0,50950.0,50926.0,50950.0,284,0.0,0.0
2026-06-02 06:45:00-04:00,50952.0,50957.0,50932.0,50942.0,216,0.0,0.0
2026-06-02 07:00:00-04:00,50941.0,50952.0,50909.0,50917.0,405,0.0,0.0
2026-06-02 07:15:00-04:00,50915.0,50915.0,50891.0,50910.0,293,0.0,0.0
2026-06-02 07:30:00-04:00,50910.0,50927.0,50897.0,50921.0,412,0.0,0.0
2026-06-02 07:45:00-04:00,50922.0,50925.0,50902.0,50908.0,265,0.0,0.0
2026-06-02 08:00:00-04:00,50906.0,50950.0,50888.0,50936.0,594,0.0,0.0
2026-06-02 08:15:00-04:00,50936.0,50960.0,50928.0,50934.0,563,0.0,0.0
2026-06-02 08:30:00-04:00,50935.0,50939.0,50864.0,50895.0,944,0.0,0.0
2026-06-02 08:45:00-04:00,50898.0,50903.0,50871.0,50882.0,494,0.0,0.0
2026-06-02 09:00:00-04:00,50884.0,50919.0,50841.0,50889.0,1299,0.0,0.0
2026-06-02 09:15:00-04:00,50889.0,50899.0,50844.0,50871.0,1280,0.0,0.0
2026-06-02 09:30:00-04:00,50874.0,51310.0,50870.0,51233.0,16279,0.0,0.0
2026-06-02 09:45:00-04:00,51233.0,51247.0,50973.0,50984.0,7921,0.0,0.0
2026-06-02 10:00:00-04:00,50992.0,51048.0,50941.0,51020.0,4891,0.0,0.0
2026-06-02 10:15:00-04:00,51021.0,51061.0,50964.0,51023.0,3797,0.0,0.0
2026-06-02 10:30:00-04:00,51025.0,51120.0,51017.0,51114.0,3016,0.0,0.0
2026-06-02 10:45:00-04:00,51118.0,51220.0,51093.0,51215.0,2443,0.0,0.0
2026-06-02 11:00:00-04:00,51216.0,51309.0,51198.0,51252.0,3208,0.0,0.0
2026-06-02 11:15:00-04:00,51251.0,51347.0,51248.0,51290.0,3408,0.0,0.0
2026-06-02 11:30:00-04:00,51290.0,51306.0,51254.0,51287.0,1912,0.0,0.0
2026-06-02 11:45:00-04:00,51288.0,51312.0,51250.0,51264.0,1620,0.0,0.0
2026-06-02 12:00:00-04:00,51262.0,51280.0,51212.0,51263.0,2403,0.0,0.0
2026-06-02 12:15:00-04:00,51263.0,51268.0,51228.0,51236.0,1411,0.0,0.0
2026-06-02 12:30:00-04:00,51237.0,51272.0,51226.0,51264.0,1217,0.0,0.0
2026-06-02 12:45:00-04:00,51265.0,51305.0,51260.0,51292.0,1014,0.0,0.0
2026-06-02 13:00:00-04:00,51293.0,51310.0,51269.0,51288.0,1442,0.0,0.0
2026-06-02 13:15:00-04:00,51287.0,51290.0,51255.0,51264.0,1177,0.0,0.0
2026-06-02 13:30:00-04:00,51264.0,51308.0,51264.0,51294.0,1335,0.0,0.0
2026-06-02 13:45:00-04:00,51291.0,51308.0,51285.0,51288.0,819,0.0,0.0
2026-06-02 14:00:00-04:00,51289.0,51334.0,51283.0,51326.0,1239,0.0,0.0
2026-06-02 14:15:00-04:00,51327.0,51378.0,51316.0,51361.0,1369,0.0,0.0
2026-06-02 14:30:00-04:00,51360.0,51412.0,51356.0,51389.0,1422,0.0,0.0
2026-06-02 14:45:00-04:00,51390.0,51409.0,51376.0,51401.0,957,0.0,0.0
2026-06-02 15:00:00-04:00,51401.0,51413.0,51360.0,51364.0,1106,0.0,0.0
2026-06-02 15:15:00-04:00,51365.0,51416.0,51363.0,51412.0,1155,0.0,0.0
2026-06-02 15:30:00-04:00,51410.0,51427.0,51398.0,51403.0,1417,0.0,0.0
2026-06-02 15:45:00-04:00,51402.0,51443.0,51389.0,51397.0,4536,0.0,0.0
2026-06-02 16:00:00-04:00,51397.0,51441.0,51395.0,51430.0,1497,0.0,0.0
2026-06-02 16:15:00-04:00,51428.0,51437.0,51410.0,51416.0,379,0.0,0.0
2026-06-02 16:30:00-04:00,51417.0,51427.0,51408.0,51424.0,400,0.0,0.0
2026-06-02 16:45:00-04:00,51425.0,51437.0,51411.0,51429.0,285,0.0,0.0
2026-06-02 18:00:00-04:00,51396.0,51418.0,51392.0,51397.0,139,0.0,0.0
2026-06-02 18:15:00-04:00,51396.0,51405.0,51389.0,51401.0,238,0.0,0.0
2026-06-02 18:30:00-04:00,51402.0,51409.0,51391.0,51392.0,94,0.0,0.0
2026-06-02 18:45:00-04:00,51393.0,51398.0,51370.0,51386.0,195,0.0,0.0
2026-06-02 19:00:00-04:00,51387.0,51389.0,51342.0,51344.0,294,0.0,0.0
2026-06-02 19:15:00-04:00,51343.0,51351.0,51273.0,51335.0,975,0.0,0.0
2026-06-02 19:30:00-04:00,51339.0,51387.0,51318.0,51382.0,622,0.0,0.0
2026-06-02 19:45:00-04:00,51381.0,51409.0,51377.0,51402.0,337,0.0,0.0
2026-06-02 20:00:00-04:00,51400.0,51418.0,51385.0,51386.0,294,0.0,0.0
2026-06-02 20:15:00-04:00,51384.0,51400.0,51373.0,51379.0,212,0.0,0.0
2026-06-02 20:30:00-04:00,51378.0,51389.0,51371.0,51380.0,181,0.0,0.0
2026-06-02 20:45:00-04:00,51379.0,51385.0,51375.0,51380.0,207,0.0,0.0
2026-06-02 21:00:00-04:00,51379.0,51385.0,51359.0,51369.0,211,0.0,0.0
2026-06-02 21:15:00-04:00,51367.0,51374.0,51366.0,51371.0,99,0.0,0.0
2026-06-02 21:30:00-04:00,51367.0,51385.0,51361.0,51385.0,162,0.0,0.0
2026-06-02 21:45:00-04:00,51385.0,51389.0,51374.0,51374.0,161,0.0,0.0
2026-06-02 22:00:00-04:00,51375.0,51382.0,51369.0,51379.0,87,0.0,0.0
2026-06-02 22:15:00-04:00,51379.0,51384.0,51375.0,51381.0,132,0.0,0.0
2026-06-02 22:30:00-04:00,51380.0,51388.0,51376.0,51381.0,95,0.0,0.0
2026-06-02 22:45:00-04:00,51380.0,51381.0,51374.0,51376.0,105,0.0,0.0
2026-06-02 23:00:00-04:00,51376.0,51393.0,51376.0,51384.0,110,0.0,0.0
2026-06-02 23:15:00-04:00,51387.0,51388.0,51372.0,51372.0,72,0.0,0.0
2026-06-02 23:30:00-04:00,51372.0,51383.0,51372.0,51381.0,79,0.0,0.0
2026-06-02 23:45:00-04:00,51381.0,51383.0,51375.0,51378.0,63,0.0,0.0
2026-06-03 00:00:00-04:00,51378.0,51383.0,51374.0,51378.0,83,0.0,0.0
2026-06-03 00:15:00-04:00,51378.0,51385.0,51375.0,51379.0,75,0.0,0.0
2026-06-03 00:30:00-04:00,51378.0,51378.0,51373.0,51376.0,82,0.0,0.0
2026-06-03 00:45:00-04:00,51375.0,51376.0,51362.0,51367.0,84,0.0,0.0
2026-06-03 01:00:00-04:00,51367.0,51379.0,51361.0,51374.0,133,0.0,0.0
2026-06-03 01:15:00-04:00,51375.0,51377.0,51358.0,51358.0,81,0.0,0.0
2026-06-03 01:30:00-04:00,51358.0,51359.0,51343.0,51347.0,140,0.0,0.0
2026-06-03 01:45:00-04:00,51348.0,51351.0,51338.0,51338.0,115,0.0,0.0
2026-06-03 02:00:00-04:00,51339.0,51348.0,51316.0,51330.0,341,0.0,0.0
2026-06-03 02:15:00-04:00,51332.0,51335.0,51315.0,51318.0,165,0.0,0.0
2026-06-03 02:30:00-04:00,51316.0,51333.0,51303.0,51321.0,425,0.0,0.0
2026-06-03 02:45:00-04:00,51319.0,51328.0,51303.0,51321.0,196,0.0,0.0
2026-06-03 03:00:00-04:00,51322.0,51324.0,51299.0,51314.0,408,0.0,0.0
2026-06-03 03:15:00-04:00,51316.0,51319.0,51289.0,51297.0,300,0.0,0.0
2026-06-03 03:30:00-04:00,51294.0,51308.0,51275.0,51278.0,311,0.0,0.0
2026-06-03 03:45:00-04:00,51280.0,51291.0,51267.0,51284.0,799,0.0,0.0
2026-06-03 04:00:00-04:00,51280.0,51283.0,51250.0,51265.0,520,0.0,0.0
