Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-12 00:00:00-04:00,39618.0,39739.0,39366.0,39480.0,105369,0.0,0.0
2024-08-13 00:00:00-04:00,39488.0,39923.0,39344.0,39889.0,117644,0.0,0.0
2024-08-14 00:00:00-04:00,39889.0,40191.0,39786.0,40119.0,121965,0.0,0.0
2024-08-15 00:00:00-04:00,40161.0,40721.0,40113.0,40683.0,110463,0.0,0.0
2024-08-16 00:00:00-04:00,40703.0,40856.0,40546.0,40794.0,100505,0.0,0.0
2024-08-19 00:00:00-04:00,40818.0,41052.0,40741.0,41020.0,92057,0.0,0.0
2024-08-20 00:00:00-04:00,40993.0,41085.0,40875.0,40949.0,93913,0.0,0.0
2024-08-21 00:00:00-04:00,40949.0,41097.0,40850.0,41006.0,108175,0.0,0.0
2024-08-22 00:00:00-04:00,41015.0,41159.0,40684.0,40828.0,127189,0.0,0.0
2024-08-23 00:00:00-04:00,40838.0,41307.0,40836.0,41270.0,140263,0.0,0.0
2024-08-26 00:00:00-04:00,41274.0,41523.0,41229.0,41335.0,99787,0.0,0.0
2024-08-27 00:00:00-04:00,41290.0,41390.0,41181.0,41356.0,96513,0.0,0.0
2024-08-28 00:00:00-04:00,41355.0,41451.0,40920.0,41178.0,130784,0.0,0.0
2024-08-29 00:00:00-04:00,41256.0,41682.0,41153.0,41439.0,159394,0.0,0.0
2024-08-30 00:00:00-04:00,41480.0,41674.0,41231.0,41653.0,102870,0.0,0.0
2024-09-03 00:00:00-04:00,41613.0,41658.0,40866.0,41018.0,159446,0.0,0.0
2024-09-04 00:00:00-04:00,41019.0,41260.0,40849.0,41051.0,121303,0.0,0.0
2024-09-05 00:00:00-04:00,41028.0,41169.0,40593.0,40829.0,138408,0.0,0.0
2024-09-06 00:00:00-04:00,40879.0,41080.0,40264.0,40407.0,197595,0.0,0.0
2024-09-09 00:00:00-04:00,40339.0,41065.0,40331.0,40882.0,197595,0.0,0.0
2024-09-10 00:00:00-04:00,40921.0,40989.0,40463.0,40798.0,138158,0.0,0.0
2024-09-11 00:00:00-04:00,40792.0,40951.0,40034.0,40906.0,192949,0.0,0.0
2024-09-12 00:00:00-04:00,40855.0,41160.0,40701.0,41146.0,130197,0.0,0.0
2024-09-13 00:00:00-04:00,41134.0,41569.0,41127.0,41427.0,191485,0.0,0.0
2024-09-16 00:00:00-04:00,41422.0,41786.0,41388.0,41660.0,91320,0.0,0.0
2024-09-17 00:00:00-04:00,41656.0,41872.0,41502.0,41639.0,62078,0.0,0.0
2024-09-18 00:00:00-04:00,41652.0,42026.0,41470.0,41526.0,32390,0.0,0.0
2024-09-19 00:00:00-04:00,41592.0,42190.0,41580.0,42057.0,24247,0.0,0.0
2024-09-20 00:00:00-04:00,42078.0,42097.0,41836.0,41946.08984375,114933,0.0,0.0
2024-09-23 00:00:00-04:00,42475.0,42562.0,42321.0,42501.0,91631,0.0,0.0
2024-09-24 00:00:00-04:00,42485.0,42656.0,42409.0,42597.0,113321,0.0,0.0
2024-09-25 00:00:00-04:00,42563.0,42679.0,42206.0,42276.0,123728,0.0,0.0
2024-09-26 00:00:00-04:00,42276.0,42594.0,42231.0,42555.0,112722,0.0,0.0
2024-09-27 00:00:00-04:00,42538.0,43005.0,42489.0,42656.0,139040,0.0,0.0
2024-09-30 00:00:00-04:00,42648.0,42715.0,42245.0,42643.0,135308,0.0,0.0
2024-10-01 00:00:00-04:00,42605.0,42656.0,42251.0,42479.0,164845,0.0,0.0
2024-10-02 00:00:00-04:00,42456.0,42581.0,42285.0,42510.0,116855,0.0,0.0
2024-10-03 00:00:00-04:00,42549.0,42575.0,42142.0,42317.0,135656,0.0,0.0
2024-10-04 00:00:00-04:00,42280.0,42667.0,42252.0,42646.0,116866,0.0,0.0
2024-10-07 00:00:00-04:00,42640.0,42704.0,42117.0,42245.0,119734,0.0,0.0
2024-10-08 00:00:00-04:00,42260.0,42427.0,42091.0,42375.0,80028,0.0,0.0
2024-10-09 00:00:00-04:00,42375.0,42864.0,42254.0,42813.0,106755,0.0,0.0
2024-10-10 00:00:00-04:00,42805.0,42850.0,42587.0,42746.0,99978,0.0,0.0
2024-10-11 00:00:00-04:00,42752.0,43180.0,42666.0,43143.0,118550,0.0,0.0
2024-10-14 00:00:00-04:00,43110.0,43421.0,42986.0,43363.0,83232,0.0,0.0
2024-10-15 00:00:00-04:00,43400.0,43445.0,42964.0,43015.0,138662,0.0,0.0
2024-10-16 00:00:00-04:00,43009.0,43369.0,42937.0,43342.0,89835,0.0,0.0
2024-10-17 00:00:00-04:00,43341.0,43550.0,43254.0,43511.0,105205,0.0,0.0
2024-10-18 00:00:00-04:00,43488.0,43581.0,43286.0,43518.0,87055,0.0,0.0
2024-10-21 00:00:00-04:00,43541.0,43578.0,43111.0,43177.0,112154,0.0,0.0
2024-10-22 00:00:00-04:00,43193.0,43284.0,42946.0,43169.0,110912,0.0,0.0
2024-10-23 00:00:00-04:00,42998.0,43065.0,42512.0,42738.0,130296,0.0,0.0
2024-10-24 00:00:00-04:00,42678.0,42747.0,42410.0,42605.0,105909,0.0,0.0
2024-10-25 00:00:00-04:00,42615.0,42811.0,42245.0,42321.0,110648,0.0,0.0
2024-10-28 00:00:00-04:00,42643.0,42643.0,42610.0,42606.0,104638,0.0,0.0
2024-10-29 00:00:00-04:00,42522.0,42522.0,42490.0,42447.0,105163,0.0,0.0
2024-10-30 00:00:00-04:00,42332.0,42352.0,42281.0,42363.0,121540,0.0,0.0
2024-10-31 00:00:00-04:00,42332.0,42357.0,41873.0,41947.0,154927,0.0,0.0
2024-11-01 00:00:00-04:00,41971.0,42495.0,41893.0,42209.0,117549,0.0,0.0
