ts,contract,funding_rate
1786550401,BTC_USDT,0.0001
1786521601,BTC_USDT,6.5e-05
1786492801,BTC_USDT,1e-05
1786464001,BTC_USDT,4.8e-05
1786435201,BTC_USDT,6.1e-05
1786406401,BTC_USDT,6.4e-05
1786377601,BTC_USDT,9.4e-05
1786348801,BTC_USDT,2e-06
1786320001,BTC_USDT,6.1e-05
1786291201,BTC_USDT,-3.6e-05
1786262401,BTC_USDT,4.2e-05
1786233601,BTC_USDT,3.4e-05
1786204801,BTC_USDT,1.5e-05
1786176001,BTC_USDT,1.5e-05
1786147201,BTC_USDT,-1.1e-05
1786118401,BTC_USDT,3.3e-05
1786089601,BTC_USDT,1.1e-05
1786060801,BTC_USDT,5e-06
1786032001,BTC_USDT,3.2e-05
1786003201,BTC_USDT,-3.1e-05
1785974401,BTC_USDT,-1.8e-05
1785945601,BTC_USDT,-4e-06
1785916801,BTC_USDT,4.1e-05
1785888001,BTC_USDT,-2.1e-05
1785859201,BTC_USDT,3.6e-05
1785830401,BTC_USDT,7e-05
1785801601,BTC_USDT,4.3e-05
1785772801,BTC_USDT,2.3e-05
1785744001,BTC_USDT,6.4e-05
1785715201,BTC_USDT,2.9e-05
1785686401,BTC_USDT,4.7e-05
1785657601,BTC_USDT,-3e-06
1785628801,BTC_USDT,3e-06
1785600001,BTC_USDT,-2.5e-05
1785571201,BTC_USDT,-1.7e-05
1785542401,BTC_USDT,2e-05
1785513601,BTC_USDT,3.5e-05
1785484801,BTC_USDT,7e-05
1785456001,BTC_USDT,6.8e-05
1785427201,BTC_USDT,6.5e-05
1785398401,BTC_USDT,6.7e-05
1785369601,BTC_USDT,7.7e-05
1785340801,BTC_USDT,8.1e-05
1785312001,BTC_USDT,-4e-06
1785283201,BTC_USDT,2.7e-05
1785254401,BTC_USDT,4.2e-05
1785225601,BTC_USDT,-3e-06
1785196801,BTC_USDT,3.7e-05
1785168001,BTC_USDT,4.7e-05
1785139201,BTC_USDT,2.3e-05
1785110401,BTC_USDT,2.5e-05
1785081601,BTC_USDT,-1.5e-05
1785052801,BTC_USDT,1.6e-05
1785024001,BTC_USDT,3e-06
1784995201,BTC_USDT,4e-06
1784966401,BTC_USDT,2.8e-05
1784937601,BTC_USDT,2.3e-05
1784908801,BTC_USDT,4.8e-05
1784880001,BTC_USDT,-4e-06
1784851201,BTC_USDT,2.8e-05
1784822401,BTC_USDT,4.7e-05
1784793601,BTC_USDT,1.4e-05
1784764801,BTC_USDT,1.9e-05
1784736001,BTC_USDT,3.2e-05
1784707201,BTC_USDT,4.5e-05
1784678401,BTC_USDT,3.7e-05
1784649601,BTC_USDT,-4.6e-05
1784620801,BTC_USDT,-1.1e-05
1784592001,BTC_USDT,1.8e-05
1784563201,BTC_USDT,2.5e-05
1784534401,BTC_USDT,3.1e-05
1784505601,BTC_USDT,3.5e-05
1784476801,BTC_USDT,6.4e-05
1784448001,BTC_USDT,5.3e-05
1784419201,BTC_USDT,-1.1e-05
1784390401,BTC_USDT,8e-06
1784361601,BTC_USDT,1.9e-05
1784332801,BTC_USDT,1.2e-05
1784304001,BTC_USDT,1.8e-05
1784275201,BTC_USDT,5.6e-05
1784246401,BTC_USDT,7.7e-05
1784217601,BTC_USDT,3.8e-05
1784188801,BTC_USDT,8.3e-05
1784160001,BTC_USDT,4e-05
1784131201,BTC_USDT,4.9e-05
1784102401,BTC_USDT,0.0001
1784073601,BTC_USDT,0.0001
1784044801,BTC_USDT,2.1e-05
1784016001,BTC_USDT,5e-06
1783987201,BTC_USDT,8.7e-05
