Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-08-09 00:00:00-04:00,263.88106167597914,274.59078907209823,263.7932715354803,273.2740173339844,1234180,0.0,0.0,0.0
2021-08-16 00:00:00-04:00,278.27776880649174,314.35732084567,276.2587294648214,293.6401062011719,5855560,0.0,0.0,0.0
2021-08-23 00:00:00-04:00,285.56391614921483,285.65170629870886,248.69430370428543,250.62557983398438,5784530,0.0,0.0,0.0
2021-08-30 00:00:00-04:00,248.07982647498687,257.6483634035663,239.6524811215455,245.53407287597656,4277320,0.0,0.0,0.0
2021-09-06 00:00:00-04:00,246.32411696825795,266.8657517089491,242.19822127526245,266.5146179199219,4037410,0.0,0.0,0.0
2021-09-13 00:00:00-04:00,260.8085789786961,275.468620728675,258.96509329558353,263.61767578125,5434580,0.0,0.0,0.0
2021-09-20 00:00:00-04:00,280.64795591796144,292.0599774619921,250.18662615759476,256.50714111328125,6105080,0.0,0.0,0.0
2021-09-27 00:00:00-04:00,254.6636582974777,274.3274441351256,240.79364664813207,257.20941162109375,6715420,0.0,0.0,0.0
2021-10-04 00:00:00-04:00,257.99945890395287,276.697632816474,247.37749533718565,259.0528869628906,5029570,0.0,0.0,0.0
2021-10-11 00:00:00-04:00,258.262808277246,265.11000973324985,236.14103515974907,246.58741760253906,4950310,0.0,0.0,0.0
2021-10-18 00:00:00-04:00,250.62555044837197,251.15226449378696,234.20978564004102,239.03794860839844,4146740,0.0,0.0,0.0
2021-10-25 00:00:00-04:00,237.80897792591063,250.9766957157151,228.94270925615086,235.7021484375,4921880,0.0,0.0,0.0
2021-11-01 00:00:00-04:00,232.45409362837,233.15638796310265,192.16088376955028,196.02342224121094,6975590,0.0,0.0,0.0
2021-11-08 00:00:00-05:00,191.54638792554454,209.630058024351,189.7029155762782,201.37828063964844,5586220,0.0,0.0,0.0
2021-11-15 00:00:00-05:00,198.56920256324082,219.98870046715567,198.2180687430523,218.93527221679688,4093050,0.0,0.0,0.0
2021-11-22 00:00:00-05:00,215.0726845086257,256.59486961825434,210.683446049266,246.67520141601562,4912610,0.0,0.0,0.0
2021-11-29 00:00:00-05:00,236.49219430230858,281.08687905747945,234.64870854610814,273.1862487792969,12651690,0.0,0.0,0.0
2021-12-06 00:00:00-05:00,266.42683349326074,277.31214192547196,231.2251278945125,251.85455322265625,9831050,0.0,0.0,0.0
2021-12-13 00:00:00-05:00,254.66368324274148,283.4570838836702,248.7820915484446,265.02227783203125,12102530,0.0,0.0,0.0
2021-12-20 00:00:00-05:00,276.52206221211725,288.37300773549373,236.66777669886838,238.86239624023438,6674760,0.0,0.0,0.0
