ts,symbol,funding_rate,venue
1755072000000,ETH/USD:ETH,1.4098004166667e-05,krakenfutures
1755075600000,ETH/USD:ETH,2.1175118055556e-05,krakenfutures
1755079200000,ETH/USD:ETH,2.5517097222222e-05,krakenfutures
1755082800000,ETH/USD:ETH,3.6197106944444e-05,krakenfutures
1755086400000,ETH/USD:ETH,3.4958075e-05,krakenfutures
1755090000000,ETH/USD:ETH,3.0712583333333e-05,krakenfutures
1755093600000,ETH/USD:ETH,2.5166102777778e-05,krakenfutures
1755097200000,ETH/USD:ETH,2.0797241666667e-05,krakenfutures
1755100800000,ETH/USD:ETH,3.0697970833333e-05,krakenfutures
1755104400000,ETH/USD:ETH,2.8980268055556e-05,krakenfutures
1755108000000,ETH/USD:ETH,2.7507127777778e-05,krakenfutures
1755111600000,ETH/USD:ETH,2.3791080555556e-05,krakenfutures
1755115200000,ETH/USD:ETH,1.7231876388889e-05,krakenfutures
1755118800000,ETH/USD:ETH,1.9607654166667e-05,krakenfutures
1755122400000,ETH/USD:ETH,1.7162302777778e-05,krakenfutures
1755126000000,ETH/USD:ETH,1.6181748611111e-05,krakenfutures
1755129600000,ETH/USD:ETH,1.8016213888889e-05,krakenfutures
1755133200000,ETH/USD:ETH,2.0158526388889e-05,krakenfutures
1755136800000,ETH/USD:ETH,3.1533343055556e-05,krakenfutures
1755140400000,ETH/USD:ETH,3.7249122222222e-05,krakenfutures
1755144000000,ETH/USD:ETH,4.1781513888889e-05,krakenfutures
1755147600000,ETH/USD:ETH,4.4112168055556e-05,krakenfutures
1755151200000,ETH/USD:ETH,4.9611986111111e-05,krakenfutures
1755154800000,ETH/USD:ETH,4.9758454166667e-05,krakenfutures
1755158400000,ETH/USD:ETH,5.177418452381e-05,krakenfutures
1755162000000,ETH/USD:ETH,4.6911447222222e-05,krakenfutures
1755165600000,ETH/USD:ETH,4.5398793055556e-05,krakenfutures
1755169200000,ETH/USD:ETH,3.7900069444444e-05,krakenfutures
1755172800000,ETH/USD:ETH,4.4896670833333e-05,krakenfutures
1755176400000,ETH/USD:ETH,3.6122122222222e-05,krakenfutures
1755180000000,ETH/USD:ETH,4.2549144444444e-05,krakenfutures
1755183600000,ETH/USD:ETH,2.6586540277778e-05,krakenfutures
1755187200000,ETH/USD:ETH,1.9724483333333e-05,krakenfutures
1755190800000,ETH/USD:ETH,2.7395769444444e-05,krakenfutures
1755194400000,ETH/USD:ETH,2.3932725e-05,krakenfutures
1755198000000,ETH/USD:ETH,2.2227940277778e-05,krakenfutures
1755201600000,ETH/USD:ETH,2.3417577777778e-05,krakenfutures
1755205200000,ETH/USD:ETH,1.8652680555556e-05,krakenfutures
1755208800000,ETH/USD:ETH,3.625380555556e-06,krakenfutures
1755212400000,ETH/USD:ETH,1.5822025e-05,krakenfutures
1755216000000,ETH/USD:ETH,1.3159758333333e-05,krakenfutures
1755219600000,ETH/USD:ETH,6.859598611111e-06,krakenfutures
1755223200000,ETH/USD:ETH,1.0750818055556e-05,krakenfutures
1755226800000,ETH/USD:ETH,9.723956944444e-06,krakenfutures
