ts,symbol,funding_rate,venue
1755072000000,BTC/USD:BTC,1.4566086111111e-05,krakenfutures
1755075600000,BTC/USD:BTC,1.3090654166667e-05,krakenfutures
1755079200000,BTC/USD:BTC,1.3817276388889e-05,krakenfutures
1755082800000,BTC/USD:BTC,1.8116977777778e-05,krakenfutures
1755086400000,BTC/USD:BTC,1.5146773611111e-05,krakenfutures
1755090000000,BTC/USD:BTC,1.3031004166667e-05,krakenfutures
1755093600000,BTC/USD:BTC,1.84002e-05,krakenfutures
1755097200000,BTC/USD:BTC,1.1572044444444e-05,krakenfutures
1755100800000,BTC/USD:BTC,1.7146765277778e-05,krakenfutures
1755104400000,BTC/USD:BTC,1.6689619444444e-05,krakenfutures
1755108000000,BTC/USD:BTC,1.4213998611111e-05,krakenfutures
1755111600000,BTC/USD:BTC,8.749740277778e-06,krakenfutures
1755115200000,BTC/USD:BTC,7.291595833333e-06,krakenfutures
1755118800000,BTC/USD:BTC,1.12085375e-05,krakenfutures
1755122400000,BTC/USD:BTC,1.2462605555556e-05,krakenfutures
1755126000000,BTC/USD:BTC,1.7266872222222e-05,krakenfutures
1755129600000,BTC/USD:BTC,2.1046575e-05,krakenfutures
1755133200000,BTC/USD:BTC,2.2940222222222e-05,krakenfutures
1755136800000,BTC/USD:BTC,2.0765076388889e-05,krakenfutures
1755140400000,BTC/USD:BTC,2.5497208333333e-05,krakenfutures
1755144000000,BTC/USD:BTC,2.6353161111111e-05,krakenfutures
1755147600000,BTC/USD:BTC,2.7189325e-05,krakenfutures
1755151200000,BTC/USD:BTC,2.9680416666667e-05,krakenfutures
1755154800000,BTC/USD:BTC,2.2751073611111e-05,krakenfutures
1755158400000,BTC/USD:BTC,2.7264757440476e-05,krakenfutures
1755162000000,BTC/USD:BTC,1.9238625e-05,krakenfutures
1755165600000,BTC/USD:BTC,1.5117647222222e-05,krakenfutures
1755169200000,BTC/USD:BTC,1.4259527777778e-05,krakenfutures
1755172800000,BTC/USD:BTC,2.0695205555556e-05,krakenfutures
1755176400000,BTC/USD:BTC,1.9817736111111e-05,krakenfutures
1755180000000,BTC/USD:BTC,1.4831830555556e-05,krakenfutures
1755183600000,BTC/USD:BTC,1.03241625e-05,krakenfutures
1755187200000,BTC/USD:BTC,1.1829729166667e-05,krakenfutures
1755190800000,BTC/USD:BTC,1.3413511111111e-05,krakenfutures
